timestamp,ip,protocol,port,hostname,tag,mac_address,asn,geo,region,city,workgroup,machine_name,username,naics,sic,sector
8/1/2020 3:09,103.15.50.179,udp,137,,netbios,00-1C-42-D7-76-D5,45538,VN,HO CHI MINH,THANH PHO HO CHI MINH,,,,0,,Communications
8/1/2020 3:09,202.158.247.214,udp,137,,netbios,00-50-56-B1-AF-A7,135918,VN,DA NANG,DA NANG,WORKGROUP,WIN26,,0,,Communications
8/1/2020 3:09,45.117.166.202,udp,137,,netbios,00-50-56-A3-A8-00,45538,VN,BAC GIANG,BAC GIANG,WORKGROUP,WIN21682,,0,,Communications
8/1/2020 3:09,42.112.22.81,udp,137,,netbios,EC-EB-B8-95-BD-34,18403,VN,HA NOI,HANOI,STOXPLUS,STOX-HN-15,,517311,,Communications
8/1/2020 3:09,202.158.245.141,udp,137,,netbios,00-50-56-A3-5F-89,135918,VN,BAC GIANG,BAC GIANG,WORKGROUP,WIN18960,,0,,Communications
8/1/2020 3:09,210.245.48.190,udp,137,190-48-245-210.fpt.vn,netbios,E4-54-E8-BA-25-40,18403,VN,HA NOI,HANOI,WORKGROUP,PC1,,517311,,Communications
8/1/2020 3:09,49.236.211.209,udp,137,,netbios,00-50-56-A3-AB-75,135918,VN,THAI NGUYEN,THAI NGUYEN,WORKGROUP,WIN13729,,0,,Communications
8/1/2020 3:09,103.95.198.226,udp,137,,netbios,00-50-56-A3-F0-5C,135918,VN,HA NOI,HANOI,WORKGROUP,WIN19099,,0,,Communications
8/1/2020 3:09,103.68.251.82,udp,137,network.powernet.vn,netbios,00-50-56-99-74-5C,135905,VN,BINH DUONG,THU DAU MOT,WORKGROUP,WIN-USUNZ0TX6Z1,,0,,Communications
8/1/2020 3:09,103.9.78.27,udp,137,,netbios,3A-61-36-63-31-62,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,,,,0,,Communications
8/1/2020 3:09,103.133.101.241,udp,137,,netbios,1E-98-2D-62-15-D4,55305,VN,NINH BINH,NINH BINH,WORKGROUP,CLOUDMINI,,0,,Communications
8/1/2020 3:09,103.95.198.107,udp,137,,netbios,00-50-56-A3-F3-C2,135918,VN,HA NOI,HANOI,WORKGROUP,WIN22044,,0,,Communications
8/1/2020 3:09,103.89.85.211,udp,137,,netbios,00-0C-29-4E-20-48,63731,VN,HO CHI MINH,THANH PHO HO CHI MINH,WORKGROUP,WIN-BTMH90DEKI0,,0,,Communications
8/1/2020 3:09,118.70.154.113,udp,137,,netbios,08-00-37-E4-E3-55,18403,VN,HA NOI,HANOI,WORKGROUP,XC-E4E355,,517311,,Communications
