timestamp,ip,protocol,port,hostname,tag,dns_version,asn,geo,region,city,min_amplification,p0f_genre,p0f_detail,naics,sic,sector
8/1/2020 0:18,14.226.229.118,udp,53,static.vnpt.vn,openresolver,,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,1.9524,,,517311,,Communications
8/1/2020 0:18,113.173.102.159,udp,53,static.vnpt.vn,openresolver,,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,1.381,,,517311,,Communications
8/1/2020 0:18,123.20.128.15,udp,53,,openresolver,,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,1.381,,,517311,,Communications
8/1/2020 0:18,14.226.231.134,udp,53,static.vnpt.vn,openresolver,,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,1.381,,,517311,,Communications
8/1/2020 0:18,113.162.157.203,udp,53,static.vnpt.vn,openresolver,,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,1.381,,,517311,,Communications
8/1/2020 0:18,101.99.41.39,udp,53,static.cmcti.vn,openresolver,,45903,VN,HO CHI MINH,THANH PHO HO CHI MINH,1.381,,,0,,Communications
8/1/2020 0:18,123.20.177.60,udp,53,,openresolver,,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,1.381,,,517311,,Communications
8/1/2020 0:18,113.161.10.88,udp,53,static.vnpt.vn,openresolver,,45899,VN,THUA THIEN-HUE,HUE,1.381,,,517311,,Communications
8/1/2020 0:18,123.20.227.133,udp,53,,openresolver,,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,1.381,,,517311,,Communications
8/1/2020 0:18,101.99.41.34,udp,53,static.cmcti.vn,openresolver,,45903,VN,HO CHI MINH,THANH PHO HO CHI MINH,1.381,,,0,,Communications
8/1/2020 0:18,1.54.58.146,udp,53,,openresolver,,18403,VN,HO CHI MINH,THANH PHO HO CHI MINH,1.381,,,517311,,Communications
8/1/2020 0:18,123.16.62.164,udp,53,static.vnpt.vn,openresolver,,45899,VN,HA NOI,HANOI,1.9524,,,517311,,Communications
8/1/2020 0:18,113.161.46.91,udp,53,static.vnpt.vn,openresolver,,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,1.381,,,517311,,Communications
8/1/2020 0:18,123.24.127.10,udp,53,dynamic.vdc.vn,openresolver,,45899,VN,HA NOI,HANOI,1.381,,,517311,,Communications
8/1/2020 0:18,113.173.232.216,udp,53,static.vnpt.vn,openresolver,,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,1.381,,,517311,,Communications
8/1/2020 0:18,123.21.96.167,udp,53,,openresolver,DNS server,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,1.381,,,517311,,Communications
8/1/2020 0:18,171.251.203.224,udp,53,dynamic-ip-adsl.viettel.vn,openresolver,x.x.x,7552,VN,HA NOI,HANOI,3.8095,,,517312,,Communications
8/1/2020 0:18,42.115.5.5,udp,53,,openresolver,,131178,VN,HA NOI,HANOI,1.381,,,517311,,Communications
8/1/2020 0:18,203.210.242.139,udp,53,adsl.hnpt.com.vn,openresolver,,45899,VN,QUANG TRI,QUANG TRI,1.381,,,517311,,Communications
8/1/2020 0:18,116.110.139.91,udp,53,,openresolver,,24086,VN,DA NANG,DA NANG,3.8095,,,517312,,Communications
8/1/2020 0:18,113.190.74.92,udp,53,static.vnpt.vn,openresolver,,45899,VN,HA NOI,HANOI,1.381,,,517311,,Communications
8/1/2020 0:18,113.172.158.242,udp,53,static.vnpt.vn,openresolver,dnsmasq-2.52,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,1.381,,,517311,,Communications
8/1/2020 0:18,116.101.204.92,udp,53,dynamic-ip-adsl.viettel.vn,openresolver,x.x.x,24086,VN,HA NOI,HANOI,2.6667,,,517312,,Communications
8/1/2020 0:18,14.231.89.163,udp,53,static.vnpt.vn,openresolver,,45899,VN,HA NOI,HANOI,1.381,,,517311,,Communications
8/1/2020 0:18,113.161.224.155,udp,53,static.vnpt.vn,openresolver,,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,6.4048,,,517311,,Communications
8/1/2020 0:18,14.161.40.54,udp,53,,openresolver,,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,1.381,,,517311,,Communications
8/1/2020 0:18,113.172.112.203,udp,53,static.vnpt.vn,openresolver,,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,1.9524,,,517311,,Communications
8/1/2020 0:18,123.16.218.164,udp,53,,openresolver,,45899,VN,HA NOI,HANOI,1.9524,,,517311,,Communications
8/1/2020 0:18,42.114.122.58,udp,53,,openresolver,dnsmasq-2.80,18403,VN,HUNG YEN,HUNG YEN,1.381,,,517311,,Communications
8/1/2020 0:18,123.16.231.82,udp,53,static.vnpt.vn,openresolver,,45899,VN,HA NOI,HANOI,1.381,,,517311,,Communications
8/1/2020 0:18,14.251.229.53,udp,53,static.vnpt.vn,openresolver,,45899,VN,HA NOI,HANOI,1.381,,,517311,,Communications
8/1/2020 0:18,116.108.5.173,udp,53,,openresolver,x.x.x,24086,VN,HO CHI MINH,THANH PHO HO CHI MINH,3.8095,,,517312,,Communications
8/1/2020 0:18,14.187.149.65,udp,53,static.vnpt.vn,openresolver,,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,1.381,,,517311,,Communications
8/1/2020 0:18,113.173.34.204,udp,53,static.vnpt.vn,openresolver,,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,1.381,,,517311,,Communications
8/1/2020 0:18,42.115.34.226,udp,53,,openresolver,dnsmasq-2.80,131178,VN,HA NOI,HANOI,1.381,,,517311,,Communications
8/1/2020 0:18,116.105.90.179,udp,53,,openresolver,,24086,VN,LAM DONG,DA LAT,1.381,,,517312,,Communications
8/1/2020 0:18,123.16.80.253,udp,53,static.vnpt.vn,openresolver,,45899,VN,HA NOI,HANOI,1.381,,,517311,,Communications
8/1/2020 0:18,117.5.52.102,udp,53,localhost,openresolver,dnsmasq-2.45,7552,VN,THAI BINH,THAI BINH,3.0476,,,517312,,Communications
8/1/2020 0:18,14.186.119.211,udp,53,static.vnpt.vn,openresolver,,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,1.381,,,517311,,Communications
8/1/2020 0:18,113.172.199.140,udp,53,static.vnpt.vn,openresolver,,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,1.381,,,517311,,Communications
8/1/2020 0:18,116.101.69.31,udp,53,dynamic-ip-adsl.viettel.vn,openresolver,x.x.x,24086,VN,HA NOI,HANOI,3.8095,,,517312,,Communications
8/1/2020 0:18,42.115.32.243,udp,53,,openresolver,,131178,VN,HA NOI,HANOI,1.381,,,517311,,Communications
8/1/2020 0:18,113.165.96.15,udp,53,static.vnpt.vn,openresolver,,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,1.381,,,517311,,Communications
8/1/2020 0:18,14.182.141.146,udp,53,static.vnpt.vn,openresolver,,45899,VN,HA NOI,HANOI,1.381,,,517311,,Communications
8/1/2020 0:18,123.20.153.138,udp,53,,openresolver,DNS server,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,1.381,,,517311,,Communications
8/1/2020 0:18,14.169.236.130,udp,53,static.vnpt.vn,openresolver,dnsmasq-2.49,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,1.381,,,517311,,Communications
8/1/2020 0:18,14.187.91.207,udp,53,static.vnpt.vn,openresolver,DNS server,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,1.381,,,517311,,Communications
8/1/2020 0:18,14.228.38.255,udp,53,static.vnpt.vn,openresolver,,45899,VN,HA NOI,HANOI,1.381,,,517311,,Communications
8/1/2020 0:18,171.242.121.68,udp,53,dynamic-ip-adsl.viettel.vn,openresolver,dnsmasq-2.78,7552,VN,HA NOI,HANOI,3.8095,,,517312,,Communications
