"timestamp","src_ip","src_asn","src_geo","src_region","src_port","dst_ip","dst_asn","dst_geo","dst_region","dst_port","protocol","tag","hostname","sysdesc","sysname","http_url","http_agent","http_host","http_referer","http_referer_ip","http_referer_asn","http_referer_geo","http_referer_region","forwarded_by","ssl_cipher"
"2020-08-01 11:31:13","2402:800:6100:56b7:208:22ff:fe08:6515",7552,"VN","HAI PHONG",48345,"2a02:1668:1034::2",51088,"NL","NOORD-HOLLAND",80,,"ghost-push",,,,"POST /okla/api/2 HTTP/1.1","Dalvik/1.6.0 (Linux; U; Android 4.4.2; T706-HD-MIPI Build/KOT49H)","mk.omkol.com",,,,,,,
"2020-08-01 11:32:04","2405:4800:60e7:ffe:109:b79d:44a9:8fe3",18403,"VN","BINH DUONG",49260,"2a02:1668:1034::2",51088,"NL","NOORD-HOLLAND",80,,"tsifiri",,,,"GET /VERSION.TXT HTTP/1.1","Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; WOW64; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C; .NET4.0E)","0-0-0-0-0-1-1-1-0-0-1-0-0-1-1-1-0-0-0-0-1-1-0-1-1-1-1-1-1-1-1-.0-0-0-0-0-0-0-0-0-0-0-0-0-5-0-0-0-0-0-0-0-0-0-0-0-0-0.info",,,,,,,
"2020-08-01 11:33:18","2001:ee0:54ba:4e40:b918:c733:58fb:3af2",45899,"VN","HA NOI",43350,"2a02:1668:1034::2",51088,"NL","NOORD-HOLLAND",80,,"ghost-push",,,,"POST /agp/api/1/ HTTP/1.1",,"g.omlao.com",,,,,,,
"2020-08-01 11:33:52","2402:800:6236:3e41:dc94:b34b:a15b:e561",7552,"VN","QUANG NAM",58499,"2a02:1668:1034::2",51088,"NL","NOORD-HOLLAND",80,,"tsifiri",,,,"GET /DATA HTTP/1.1","Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; WOW64; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C; .NET4.0E)","2-3-2-4-6-3-8-0-7-6-8-2-3-4-7-8-6-7-5-3-2-0-6-2-0-1-7-3-7-3-6-.0-0-0-0-0-0-0-0-0-0-0-0-0-10-0-0-0-0-0-0-0-0-0-0-0-0-0.info",,,,,,,
"2020-08-01 11:36:32","2001:ee0:54ba:4e40:25a6:abcd:d129:2acf",45899,"VN","HA NOI",45151,"2a02:1668:1034::2",51088,"NL","NOORD-HOLLAND",80,,"ghost-push",,,,"POST /agp/api/1/ HTTP/1.1",,"g.omlao.com",,,,,,,
"2020-08-01 11:38:41","2001:ee0:54ba:4e40:5fd:ca02:39fd:f9f8",45899,"VN","HA NOI",36369,"2a02:1668:1034::2",51088,"NL","NOORD-HOLLAND",80,,"ghost-push",,,,"POST /agp/api/1/ HTTP/1.1",,"g.omlao.com",,,,,,,
"2020-08-01 11:42:40","2402:800:63b6:bdb6:5048:93cd:576f:5f18",7552,"VN","HO CHI MINH",49162,"2a02:1668:1034::2",51088,"NL","NOORD-HOLLAND",80,,"tsifiri",,,,"GET /DATA HTTP/1.1","Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; Trident/7.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C; .NET4.0E; InfoPath.2; Tablet PC 2.0; GWX:RESERVED)","0-0-0-0-0-0-0-0-0-0-0-0-0-10-0-0-0-0-0-0-0-0-0-0-0-0-0.info",,,,,,,
"2020-08-01 11:43:23","2001:ee0:54ba:4e40:3ca5:2665:d41f:1dd1",45899,"VN","HA NOI",51045,"2a02:1668:1034::2",51088,"NL","NOORD-HOLLAND",80,,"ghost-push",,,,"POST /agp/api/1/ HTTP/1.1",,"g.omlao.com",,,,,,,
"2020-08-01 11:47:25","2402:800:6310:dd94:9c3:bb31:6542:1586",7552,"VN","HO CHI MINH",50140,"2a02:1668:1034::2",51088,"NL","NOORD-HOLLAND",80,,"ramdo",,,,"POST / HTTP/1.1",,"gmumwmiwoqegwiwo.org",,,,,,,
"2020-08-01 11:47:27","2405:4800:109e:ca86:58cb:8dd8:d9c7:63ea",18403,"VN","HA NOI",60729,"2a02:1668:1034::2",51088,"NL","NOORD-HOLLAND",80,,"tsifiri",,,,"GET /DATA HTTP/1.1","Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; WOW64; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C; .NET4.0E)","5-8-5-3-6-0-6-6-4-1-2-2-7-0-4-6-7-2-8-7-6-8-7-3-1-8-7-6-3-0-1-.0-0-0-0-0-0-0-0-0-0-0-0-0-10-0-0-0-0-0-0-0-0-0-0-0-0-0.info",,,,,,,
"2020-08-01 11:49:32","2001:ee0:54ba:4e40:9d7b:b5f:6d9e:d01b",45899,"VN","HA NOI",47851,"2a02:1668:1034::2",51088,"NL","NOORD-HOLLAND",80,,"ghost-push",,,,"POST /agp/api/1/ HTTP/1.1",,"g.omlao.com",,,,,,,
"2020-08-01 11:52:05","2405:4800:72de:3940:cb5:2973:3e:31e9",18403,"VN","HA NOI",51260,"2a02:1668:1034::2",51088,"NL","NOORD-HOLLAND",80,,"sality",,,,"GET /home.gif?411fd0=34143872 HTTP/1.0","Mozilla/4.0 (compatible; MSIE 7.0b; Windows NT 6.0)","kukutrustnet777.info",,,,,,,
"2020-08-01 11:54:47","2001:ee0:54ba:4e40:fca8:76bf:1fd8:b354",45899,"VN","HA NOI",33790,"2a02:1668:1034::2",51088,"NL","NOORD-HOLLAND",80,,"ghost-push",,,,"POST /agp/api/1/ HTTP/1.1",,"g.omlao.com",,,,,,,
"2020-08-01 12:07:44","2001:ee0:54ba:4e40:439:61cc:2569:d990",45899,"VN","HA NOI",34779,"2a02:1668:1034::2",51088,"NL","NOORD-HOLLAND",80,,"ghost-push",,,,"POST /agp/api/1/ HTTP/1.1",,"g.omlao.com",,,,,,,
"2020-08-01 12:08:57","2402:800:6139:a4b:3118:bc27:13e0:8597",7552,"VN","BAC NINH",52962,"2a02:1668:1034::2",51088,"NL","NOORD-HOLLAND",80,,"sality",,,,"GET /t_100_v400/?rnd=1123770078&id=164193392145694 HTTP/1.1","KUKU v4.00 alpha","www.hkukud123ncs.info",,,,,,,
"2020-08-01 12:09:58","2402:800:417c:25f2:b025:3726:584c:ddd0",7552,"VN","HA NOI",52226,"2a02:1668:1034::2",51088,"NL","NOORD-HOLLAND",80,,"sality",,,,"GET /t_100_v400/?rnd=1936652937&id=11077973752732 HTTP/1.1","KUKU v4.00 alpha","www.g1ikddcvns3sdsal.info",,,,,,,
"2020-08-01 12:21:47","2402:800:634d:159:c482:33c:13c9:2622",7552,"VN","HO CHI MINH",49164,"2a02:1668:1034::2",51088,"NL","NOORD-HOLLAND",80,,"tsifiri",,,,"GET /DATA HTTP/1.1","Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; WOW64; Trident/7.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C; .NET4.0E)","0-0-0-0-0-0-0-0-0-0-0-0-0-10-0-0-0-0-0-0-0-0-0-0-0-0-0.info",,,,,,,
"2020-08-01 12:26:17","2001:ee0:55eb:4ce0:2835:7706:2deb:3265",45899,"VN","HO CHI MINH",57264,"2a02:1668:1034::2",51088,"NL","NOORD-HOLLAND",80,,"ghost-push",,,,"POST /omla/i/1 HTTP/1.1",,"m.omlao.com",,,,,,,
"2020-08-01 12:27:07","2402:800:6342:40e7:2067:f3c2:70b2:b68c",7552,"VN","AN GIANG",49638,"2a02:1668:1034::2",51088,"NL","NOORD-HOLLAND",80,,"tsifiri",,,,"GET /DATA HTTP/1.1","Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C; .NET4.0E; InfoPath.3)","1-2-3-4-6-3-8-8-5-4-1-3-2-6-9-3-3-8-2-6-6-6-7-8-2-4-8-3-6-4-8-.0-0-0-0-0-0-0-0-0-0-0-0-0-5-0-0-0-0-0-0-0-0-0-0-0-0-0.info",,,,,,,
"2020-08-01 12:34:39","2405:4800:64d5:fe71:48e0:3726:3612:8b2e",18403,"VN","HA NOI",56543,"2a02:1668:1034::2",51088,"NL","NOORD-HOLLAND",80,,"ghost-push",,,,"POST /okla/api/2 HTTP/1.1","Dalvik/1.6.0 (Linux; U; Android 4.2.2; Pioneer_P2 Build/JDQ39)","mk.omkol.com",,,,,,,
"2020-08-01 12:40:39","2001:ee0:4da9:cea0:b4e1:6a7:c48:9cb4",45899,"VN","HA NOI",36663,"2a02:1668:1034::2",51088,"NL","NOORD-HOLLAND",80,,"ghost-push",,,,"POST /okla/api/2 HTTP/1.1","Dalvik/1.6.0 (Linux; U; Android 4.2.2; Life 4.5 Build/JDQ39)","mk.omkol.com",,,,,,,
"2020-08-01 12:45:15","2402:800:6329:5276:dba:9949:2a3:8145",7552,"VN","HA NOI",49170,"2a02:1668:1034::2",51088,"NL","NOORD-HOLLAND",80,,"tsifiri",,,,"GET /DATA HTTP/1.1","Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.2; Trident/6.0; .NET4.0E; .NET4.0C; .NET CLR 3.5.30729; .NET CLR 2.0.50727; .NET CLR 3.0.30729)","0-0-0-0-0-0-0-0-0-0-0-0-0-5-0-0-0-0-0-0-0-0-0-0-0-0-0.info",,,,,,,
"2020-08-01 12:52:37","2402:800:6147:2a90:89ef:ac1f:87a4:4076",7552,"VN","HA NOI",46700,"2a02:1668:1034::2",51088,"NL","NOORD-HOLLAND",80,,"tinba",,,,"GET / HTTP/1.1","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.90 Safari/537.36","ueepdffhyiiv.me.uk",,,,,,,
"2020-08-01 12:53:05","2001:ee0:4cca:b160:9815:7f5a:987d:a65f",45899,"VN","BINH DINH",49294,"2a02:1668:1034::2",51088,"NL","NOORD-HOLLAND",80,,"sality",,,,"GET /home.gif?3d114=750396 HTTP/1.1","Opera/9.50 (Windows NT 6.0; U; en)","kukutrustnet777.info",,,,,,,
"2020-08-01 13:04:36","2402:800:6100:56b7:a858:6ae5:172b:278",7552,"VN","HAI PHONG",48469,"2a02:1668:1034::2",51088,"NL","NOORD-HOLLAND",80,,"ghost-push",,,,"POST /omla/i/1 HTTP/1.1",,"m.omlao.com",,,,,,,
"2020-08-01 13:07:06","2402:800:623f:4aa3:951a:361b:8c5e:9a2f",7552,"VN","KON TUM",49157,"2a02:1668:1034::2",51088,"NL","NOORD-HOLLAND",80,,"tsifiri",,,,"GET /DATA HTTP/1.1","Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; Tablet PC 2.0)","0-0-0-0-0-0-0-0-0-0-0-0-0-10-0-0-0-0-0-0-0-0-0-0-0-0-0.info",,,,,,,
"2020-08-01 13:08:44","2001:ee0:4d03:1150:d0e2:676e:3604:6b8",45899,"VN","HA NOI",2030,"2a02:1668:1034::2",51088,"NL","NOORD-HOLLAND",80,,"sality",,,,"GET /t_100_v400/?rnd=6939578&id=30519536564 HTTP/1.1","KUKU v4.00 alpha","www.inform1ongung.info",,,,,,,
