"timestamp","ip","protocol","port","hostname","tag","asn","geo","region","city","naics","sic","size","configuration_naming_context","current_time","default_naming_context","dns_host_name","domain_controller_functionality","domain_functionality","ds_service_name","forest_functionality","highest_committed_usn","is_global_catalog_ready","is_synchronized","ldap_service_name","naming_contexts","root_domain_naming_context","schema_naming_context","server_name","subschema_subentry","supported_capabilities","supported_control","supported_ldap_policies","supported_ldap_version","supported_sasl_mechanisms"
"2020-08-01 08:31:30","118.69.161.225","tcp",389,,"ldap-tcp",18403,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517311,,0,,,,,,,,,,,,,,,,,,,"1.2.840.113556.1.4.8411.2.840.113556.1.4.319|1.2.840.113556.1.4.473|1.2.840.113556.1.4.1504|1.2.840.113556.1.4.801|1.2.840.113556.1.4.801|1.2.840.113556.1.4.805|1.2.840.113556.1.4.1338|1.2.840.113556.1.4.529|1.2.840.113556.1.4.417|1.2.840.113556.1.4.2064|1.2.840.113556.1.4.1413|1.2.840.113556.1.4.1413|1.2.840.113556.1.4.1413|1.2.840.113556.1.4.1413|1.2.840.113556.1.4.1413|1.2.840.11",,,
"2020-08-01 08:31:30","117.2.104.2","tcp",389,,"ldap-tcp",7552,"VN","DA NANG","DA NANG",517312,,0,"CN=Configuration,DC=TOYOTAGIALAI,DC=COM,DC=VN","20200801083441.0Z","DC=TOYOTAGIALAI,DC=COM,DC=VN",,,,"CN=Configuration,DC=TOYOTAGIALAI,DC=COM,DC=VN",,,,,,"DC=TOYOTAGIALAI,DC=COM,DC=VN|CN=Configuration,DC=TOYOTAGIALAI,DC=COM,DC=VN|CN=Schema,CN=Configuration,DC=TOYOTAGIALAI,DC=COM,DC=VN|DC=DomainDnsZones,DC=TOYOTAGIALAI,DC=COM,DC=VN|DC=ForestDnsZones,DC=TOYOTAGIALAI,DC=COM,DC=VN","DC=TOYOTAGIALAI,DC=COM,DC=VN","CN=Schema,CN=Configuration,DC=TOYOTAGIALAI,DC=COM,DC=VN",,"CN=Aggregate,CN=Schema,CN=Configuration,DC=TOYOTAGIALAI,DC=COM,DC=VN",,"1.2.840.113556.1.4.319|1.2.840.113556.1.4.801|1.2.840.113556.1.4.473|1.2.840.113556.1.4.528|1.2.840.113556.1.4.417|1.2.840.113556.1.4.619|1.2.840.113556.1.4.841|1.2.840.113556.1.4.529|1.2.840.113556.1.4.805|1.2.840.113556.1.4.521|1.2.840.113556.1.4.970|1.2.840.113556.1.4.1338|1.2.840.113556.1.4.474|1.2.840.113556.1.4.1339|1.2.840.113556.1.4.1340|1.2.840.113556.1.4.1413|2.16.840.1.113730.3.4.9|2.16.840.1.113730.3.4.10|1.2.840.113556.1.4.1504|1.2.8",,,
"2020-08-01 08:31:36","103.57.209.214","tcp",389,"mxhcm17.email-nhanhoa.net","ldap-tcp",131353,"VN","HO CHI MINH","THANH PHO HO CHI MINH",0,,0,,,,,,,,,,,,,,,,,,,,,,
"2020-08-01 08:31:36","203.113.132.153","tcp",389,,"ldap-tcp",7552,"VN","HA NOI","HANOI",517312,,0,,,,,,,,,,,,,,,,,,,,,,
"2020-08-01 08:31:38","220.231.93.134","tcp",389,"smtp.ptsc.com.vn","ldap-tcp",7552,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517312,,0,,,,,,,,,,,,,,,,,,,,,,
"2020-08-01 08:31:40","113.161.152.116","tcp",389,"static.vnpt.vn","ldap-tcp",45899,"VN","HA NOI","HANOI",517311,,0,"CN=Configuration,DC=anco,DC=com,DC=vn","20200801090738.0Z","DC=anco,DC=com,DC=vn",,,,"CN=Configuration,DC=anco,DC=com,DC=vn",,,,,,"DC=anco,DC=com,DC=vn|CN=Configuration,DC=anco,DC=com,DC=vn|CN=Schema,CN=Configuration,DC=anco,DC=com,DC=vn|DC=ForestDnsZones,DC=anco,DC=com,DC=vn|DC=DomainDnsZones,DC=anco,DC=com,DC=vn","DC=anco,DC=com,DC=vn","CN=Schema,CN=Configuration,DC=anco,DC=com,DC=vn",,"CN=Aggregate,CN=Schema,CN=Configuration,DC=anco,DC=com,DC=vn",,"1.2.840.113556.1.4.319|1.2.840.113556.1.4.801|1.2.840.113556.1.4.473|1.2.840.113556.1.4.528|1.2.840.113556.1.4.417|1.2.840.113556.1.4.619|1.2.840.113556.1.4.841|1.2.840.113556.1.4.529|1.2.840.113556.1.4.805|1.2.840.113556.1.4.521|1.2.840.113556.1.4.970|1.2.840.113556.1.4.1338|1.2.840.113556.1.4.474|1.2.840.113556.1.4.1339|1.2.840.113556.1.4.1340|1.2.840.113556.1.4.1413|2.16.840.1.113730.3.4.9|2.16.840.1.113730.3.4.10|1.2.840.113556.1.4.1504|1.2.840.113556.1.4.1852|1.2.840.113556.1.4.802|1.2.840.113556.1.4.1907|1.2.840.113556.1.4.194",,,
"2020-08-01 08:31:42","118.69.170.130","tcp",389,,"ldap-tcp",18403,"VN","HA NOI","HANOI",517311,,0,"CN=Configuration,CN={B16C29D9-4F05-49F8-93B7-12D4F919C3F2}","20200801083110.0Z",,,,,"CN={B16C29D9-4F05-49F8-93B7-12D4F919C3F2}",,,,,,"CN=Configuration,CN={B16C29D9-4F05-49F8-93B7-12D4F919C3F2}|CN=Schema,CN=Configuration,CN={B16C29D9-4F05-49F8-93B7-12D4F919C3F2}|DC=virtualcenter,DC=vmware,DC=int",,"CN=Schema,CN=Configuration,CN={B16C29D9-4F05-49F8-93B7-12D4F919C3F2}",,"CN=Aggregate,CN=Schema,CN=Configuration,CN={B16C29D9-4F05-49F8-93B7-12D4F919C3F2}",,"1.2.840.113556.1.4.319|1.2.840.113556.1.4.801|1.2.840.113556.1.4.473|1.2.840.113556.1.4.528|1.2.840.113556.1.4.417|1.2.840.113556.1.4.619|1.2.840.113556.1.4.841|1.2.840.113556.1.4.529|1.2.840.113556.1.4.805|1.2.840.113556.1.4.521|1.2.840.113556.1.4.970|1.2.840.113556.1.4.1338|1.2.840.113556.1.4.474|1.2.840.113556.1.4.1339|1.2.840.113556.1.4.1340|1.2.840.113556.1.4.1413|2.16.840.1.113730.3.4.9|2.16.840.1.113730.3.4.10|1.2.840.113556.1.4.1504|1.2.840.113556.1.4.1852|1.2.840.113556.1.4.802|1.2.840.113556.1.4.1907|1.2.840.113556.1.4.1948|1.2.840.113556.1.4.1974|1.2.840.113556.1.4.1341|1.2.840.113556.1.4.2026|1.2.840.113556.1",,,
"2020-08-01 08:31:54","183.91.22.212","tcp",389,"mail.phs.vn","ldap-tcp",45903,"VN","HO CHI MINH","THANH PHO HO CHI MINH",0,,0,"CN=Configuration,DC=phs,DC=vn","20200801083154.0Z","DC=phs,DC=vn","SRV-EX13-HUB.phs.vn",5,5,"CN=Configuration,DC=phs,DC=vn",5,119834632,"TRUE","TRUE","phs.vn:srv-ex13-hub$@PHS.VN","DC=phs,DC=vn|CN=Configuration,DC=phs,DC=vn|CN=Schema,CN=Configuration,DC=phs,DC=vn|DC=DomainDnsZones,DC=phs,DC=vn|DC=ForestDnsZones,DC=phs,DC=vn","DC=phs,DC=vn","CN=Schema,CN=Configuration,DC=phs,DC=vn","CN=SRV-EX13-HUB,CN=Servers,CN=Default-First-Site-Name,CN=Sites,CN=Configuration,DC=phs,DC=vn","CN=Aggregate,CN=Schema,CN=Configuration,DC=phs,DC=vn","1.2.840.113556.1.4.800|1.2.840.113556.1.4.1670|1.2.840.113556.1.4.1791|1.2.840.113556.1.4.1935|1.2.840.113556.1.4.2080|1.2.840.113556.1.4.2237","1.2.840.113556.1.4.319|1.2.840.113556.1.4.801|1.2.840.113556.1.4.473|1.2.840.113556.1.4.528|1.2.840.113556.1.4.417|1.2.840.113556.1.4.619|1.2.840.113556.1.4.841|1.2.840.113556.1.4.529|1.2.840.113556.1.4.805|1.2.840.113556.1.4.521|1.2.840.113556.1.4.970|1.2.840.113556.1.4.1338|1.2.840.113556.1.4.474|1.2.840.113556.1.4.1339|1.2.840.113556.1.4.1340|1.2.840.113556.1.4.1413|2.16.840.1.113730.3.4.9|2.16.840.1.113730.3.4.10|1.2.840.113556.1.4.1504|1.2.840.113556.1.4.1852|1.2.840.113556.1.4.802|1.2.840.113556.1.4.1907|1.2.840.113556.1.4.1948|1.2.840.113556.1.4.1974|1.2.840.113556.1.4.1341|1.2.840.113556.1.4.2026|1.2.840.113556.1.4.2064|1.2.840.113556.1.4.2065|1.2.840.113556.1.4.2066|1.2.840.113556.1.4.2090|1.2.840.113556.1.4.2205|1.2.840.113556.1.4.2204|1.2.840.113556.1.4.2206|1.2.840.113556.1.4.2211|1.2.840.113556.1.4.2239","MaxPoolThreads|MaxDatagramRecv|MaxReceiveBuffer|InitRecvTimeout|MaxConnections|MaxConnIdleTime|MaxPageSize|MaxBatchReturnMessages|MaxQueryDuration|MaxTempTableSize|MaxResultSetSize|MinResultSets|MaxResultSetsPerConn|MaxNotificationPerConn|MaxValRange|ThreadMemoryLimit|SystemMemoryLimitPercent","3|2","GSSAPI|GSS-SPNEGO|EXTERNAL|DIGEST-MD5"
"2020-08-01 08:31:54","45.117.82.132","tcp",389,"mail.midotrade.vn","ldap-tcp",131353,"VN","HA NOI","HANOI",0,,0,,,,,,,,,,,,,,,,,,,,,,
"2020-08-01 08:31:56","45.122.221.187","tcp",389,,"ldap-tcp",56150,"VN","HA NOI","HANOI",0,,0,,,,,,,,,,,,,,,,,,,,,,
"2020-08-01 08:31:58","171.244.0.54","tcp",389,,"ldap-tcp",38731,"VN","HA NOI","HANOI",517312,,0,,,,,,,,,,,,,,,,,,,,,,
"2020-08-01 08:32:01","103.28.38.203","tcp",389,"mail.an-phat.com","ldap-tcp",131353,"VN","HA NOI","HANOI",0,,0,,,,,,,,,,,,,,,,,,,,,,
"2020-08-01 08:32:01","123.21.33.172","tcp",389,,"ldap-tcp",45899,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517311,,0,"CN=Configuration,DC=mbs,DC=net,DC=vn","20200801081617.0Z","DC=mbs,DC=net,DC=vn",,,,"CN=Configuration,DC=mbs,DC=net,DC=vn",,,,,,"DC=mbs,DC=net,DC=vn|CN=Configuration,DC=mbs,DC=net,DC=vn|CN=Schema,CN=Configuration,DC=mbs,DC=net,DC=vn|DC=DomainDnsZones,DC=mbs,DC=net,DC=vn|DC=ForestDnsZones,DC=mbs,DC=net,DC=vn","DC=mbs,DC=net,DC=vn","CN=Schema,CN=Configuration,DC=mbs,DC=net,DC=vn",,"CN=Aggregate,CN=Schema,CN=Configuration,DC=mbs,DC=net,DC=vn",,"1.2.840.113556.1.4.319|1.2.840.113556.1.4.801|1.2.840.113556.1.4.473|1.2.840.113556.1.4.528|1.2.840.113556.1.4.417|1.2.840.113556.1.4.619|1.2.840.113556.1.4.841|1.2.840.113556.1.4.529|1.2.840.113556.1.4.805|1.2.840.113556.1.4.521|1.2.840.113556.1.4.970|1.2.840.113556.1.4.1338|1.2.840.113556.1.4.474|1.2.840.113556.1.4.1339|1.2.840.113556.1.4.1340|1.2.840.113556.1.4.1413|2.16.840.1.113730.3.4.9|2.16.840.1.113730.3.4.10|1.2.840.113556.1.4.1504|1.2.840.113556.1.4.1852|1.2.840.113556.1.4.802|1.2.840.113556.1.4.1907|1.2.840.113556.1.4.1948|1.2.840.",,,
"2020-08-01 08:32:03","202.191.57.227","tcp",389,,"ldap-tcp",38727,"VN","HA NOI","HANOI",0,,0,"CN=Configuration,DC=HUST,DC=BKHN","20200801082957.0Z","DC=HUST,DC=BKHN",,,,"CN=Configuration,DC=HUST,DC=BKHN",,,,,,"DC=HUST,DC=BKHN|CN=Configuration,DC=HUST,DC=BKHN|CN=Schema,CN=Configuration,DC=HUST,DC=BKHN|DC=DomainDnsZones,DC=HUST,DC=BKHN|DC=ForestDnsZones,DC=HUST,DC=BKHN","DC=HUST,DC=BKHN","CN=Schema,CN=Configuration,DC=HUST,DC=BKHN",,"CN=Aggregate,CN=Schema,CN=Configuration,DC=HUST,DC=BKHN",,"1.2.840.113556.1.4.319|1.2.840.113556.1.4.801|1.2.840.113556.1.4.473|1.2.840.113556.1.4.528|1.2.840.113556.1.4.417|1.2.840.113556.1.4.619|1.2.840.113556.1.4.841|1.2.840.113556.1.4.529|1.2.840.113556.1.4.805|1.2.840.113556.1.4.521|1.2.840.113556.1.4.970|1.2.840.113556.1.4.1338|1.2.840.113556.1.4.474|1.2.840.113556.1.4.1339|1.2.840.113556.1.4.1340|1.2.840.113556.1.4.1413|2.16.840.1.113730.3.4.9|2.16.840.1.113730.3.4.10|1.2.840.113556.1.4.1504|1.2.840.113556.1.4.1852|1.2.840.113556.1.4.802|1.2.840.113556.1.4.1907|1.2.840.113556.1.4.1948|1.2.840.113556.1.4.1974|1.2.840.113556.1.4.1341|1.2.840.113556.1.4.2026|1.2.840.113556.1.4.2064|1.2.840.11",,,
"2020-08-01 08:32:03","45.117.177.4","tcp",389,"relay03.email-nhanhoa.net","ldap-tcp",131353,"VN","HO CHI MINH","THANH PHO HO CHI MINH",0,,0,,,,,,,,,,,,,,,,,,,,,,
"2020-08-01 08:32:03","103.101.160.12","tcp",389,"mail.thinhvuongvet.com","ldap-tcp",131353,"VN","HA NOI","HANOI",0,,0,,,,,,,,,,,,,,,,,,,,,,
"2020-08-01 08:32:03","103.21.149.80","tcp",389,,"ldap-tcp",38732,"VN","HA NOI","HANOI",0,,0,"CN=Configuration,DC=vgg,DC=vn","20200801080747.0Z","DC=vgg,DC=vn","WIN-9UASCB8QCF9.vgg.vn",4,3,"CN=Configuration,DC=vgg,DC=vn",3,2356584,"TRUE","TRUE","vgg.vn:win-9uascb8qcf9$@VGG.VN","DC=vgg,DC=vn|CN=Configuration,DC=vgg,DC=vn|CN=Schema,CN=Configuration,DC=vgg,DC=vn|DC=DomainDnsZones,DC=vgg,DC=vn|DC=ForestDnsZones,DC=vgg,DC=vn","DC=vgg,DC=vn","CN=Schema,CN=Configuration,DC=vgg,DC=vn","CN=WIN-9UASCB8QCF9,CN=Servers,CN=Default-First-Site-Name,CN=Sites,CN=Configuration,DC=vgg,DC=vn","CN=Aggregate,CN=Schema,CN=Configuration,DC=vgg,DC=vn","1.2.840.113556.1.4.800|1.2.840.113556.1.4.1670|1.2.840.113556.1.4.1791|1.2.840.113556.1.4.1935|1.2.840.113556.1.4.2080","1.2.840.113556.1.4.319|1.2.840.113556.1.4.801|1.2.840.113556.1.4.473|1.2.840.113556.1.4.528|1.2.840.113556.1.4.417|1.2.840.113556.1.4.619|1.2.840.113556.1.4.841|1.2.840.113556.1.4.529|1.2.840.113556.1.4.805|1.2.840.113556.1.4.521|1.2.840.113556.1.4.970|1.2.840.113556.1.4.1338|1.2.840.113556.1.4.474|1.2.840.113556.1.4.1339|1.2.840.113556.1.4.1340|1.2.840.113556.1.4.1413|2.16.840.1.113730.3.4.9|2.16.840.1.113730.3.4.10|1.2.840.113556.1.4.1504|1.2.840.113556.1.4.1852|1.2.840.113556.1.4.802|1.2.840.113556.1.4.1907|1.2.840.113556.1.4.1948|1.2.840.113556.1.4.1974|1.2.840.113556.1.4.1341|1.2.840.113556.1.4.2026|1.2.840.113556.1.4.2064|1.2.840.113556.1.4.2065|1.2.840.113556.1.4.2066","MaxPoolThreads|MaxDatagramRecv|MaxReceiveBuffer|InitRecvTimeout|MaxConnections|MaxConnIdleTime|MaxPageSize|MaxQueryDuration|MaxTempTableSize|MaxResultSetSize|MinResultSets|MaxResultSetsPerConn|MaxNotificationPerConn|MaxValRange|ThreadMemoryLimit|SystemMemoryLimitPercent","3|2","GSSAPI|GSS-SPNEGO|EXTERNAL|DIGEST-MD5"
