"timestamp","ip","port","hostname","asn","geo","region","city","naics","sic","smb_implant","arch","key"
"2020-08-01 09:44:27","103.221.228.52",445,,63747,"VN","HA NOI","HANOI",0,,"N",,
"2020-08-01 09:44:27","116.107.111.248",445,"dynamic-adsl.viettel.vn",7552,"VN","HAI DUONG","HAI DUONG",517312,,"N",,
"2020-08-01 09:44:27","223.27.104.5",445,"mail.ndscorp.vn",56146,"VN","HA NOI","HANOI",0,,"N",,
"2020-08-01 09:44:27","221.132.29.245",445,,45899,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517311,,"N",,
"2020-08-01 09:44:27","116.110.144.24",445,,24086,"VN","DA NANG","DA NANG",517312,,"N",,
"2020-08-01 09:44:28","118.70.72.73",445,"mailhub.siol.net",18403,"VN","HA NOI","HANOI",517311,,"N",,
"2020-08-01 09:44:29","123.31.30.99",445,"static.vnpt.vn",45899,"VN","HA NOI","HANOI",517311,,"N",,
"2020-08-01 09:44:29","27.76.4.194",445,"localhost",7552,"VN","THAI NGUYEN","THAI NGUYEN",517312,,"N",,
"2020-08-01 09:44:31","113.161.75.223",445,"mail.saigonpearl.com.vn",45899,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517311,,"N",,
"2020-08-01 09:44:31","27.74.97.130",445,"localhost",7552,"VN","HA NOI","HANOI",517312,,"N",,
"2020-08-01 09:44:32","171.244.0.120",445,,38731,"VN","HA NOI","HANOI",517312,,"N",,
"2020-08-01 09:44:32","210.245.51.82",445,"210-245-51-office-net-static-ip.fpt.vn",18403,"VN","HA NOI","HANOI",517311,,"N",,
"2020-08-01 09:44:32","27.118.26.31",445,,55313,"VN","HA NOI","HANOI",0,,"N",,
"2020-08-01 09:44:32","113.161.85.86",445,"static.vnpt.vn",45899,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517311,,"N",,
"2020-08-01 09:44:32","14.234.239.143",445,"static.vnpt.vn",45899,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517311,,"N",,
"2020-08-01 09:44:33","125.212.254.106",445,,3873,"VN","BA RIA-VUNG TAU","VUNG TAU",517312,,"N",,
"2020-08-01 09:44:33","171.241.38.168",445,"dynamic-ip-adsl.viettel.vn",7552,"VN","HA NOI","HANOI",517312,,"N",,
"2020-08-01 09:44:33","113.160.158.75",445,"static.vnpt.vn",45899,"VN","HA NOI","HANOI",517311,,"N",,
"2020-08-01 09:44:33","116.110.127.210",445,,24086,"VN","DA NANG","DA NANG",517312,,"N",,
"2020-08-01 09:44:34","42.113.246.168",445,,18403,"VN","HA NOI","HANOI",517311,,"N",,
"2020-08-01 09:44:35","103.238.212.201",445,"mail.srfood.com.vn",131428,"VN","HO CHI MINH","THANH PHO HO CHI MINH",0,,"N",,
"2020-08-01 09:44:36","117.6.86.86",445,,7552,"VN","HA NOI","HANOI",517312,,"N",,
"2020-08-01 09:44:36","42.118.162.244",445,,18403,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517311,,"N",,
"2020-08-01 09:44:37","171.244.50.80",445,,38731,"VN","HA NOI","HANOI",517312,,"N",,
"2020-08-01 09:44:38","210.245.17.236",445,,18403,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517311,,"N",,
"2020-08-01 09:44:38","113.161.26.118",445,"static.vnpt.vn",45899,"VN","GIA LAI","PLEIKU",517311,,"N",,
"2020-08-01 09:44:38","123.30.107.20",445,"static.vnpt.vn",45899,"VN","HA NOI","HANOI",517311,,"N",,
"2020-08-01 09:44:38","123.16.95.97",445,"static.vnpt.vn",45899,"VN","HA NOI","HANOI",517311,,"N",,
"2020-08-01 09:44:39","14.250.3.173",445,"static.vnpt.vn",45899,"VN","HA NOI","HANOI",517311,,"N",,
"2020-08-01 09:44:48","117.2.91.71",445,"localhost",7552,"VN","LAM DONG","DA LAT",517312,,"N",,
"2020-08-01 09:44:51","113.160.56.154",445,"mail.vinalinescontainer.com",45899,"VN","HA NOI","HANOI",517311,,"N",,
"2020-08-01 09:44:52","117.4.81.118",445,"localhost",7552,"VN","THAI NGUYEN","THAI NGUYEN",517312,,"N",,
"2020-08-01 09:44:53","27.68.130.223",445,"localhost",7552,"VN","HA NOI","HANOI",517312,,"N",,
"2020-08-01 09:44:54","210.245.20.227",445,,18403,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517311,,"N",,
"2020-08-01 09:44:54","113.160.206.230",445,"static.vnpt.vn",45899,"VN","HAI PHONG","HAI PHONG",517311,,"N",,
"2020-08-01 09:44:55","14.166.9.215",445,"static.vnpt.vn",45899,"VN","NGHE AN","VINH",517311,,"N",,
"2020-08-01 09:44:55","125.212.217.213",445,,7552,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517312,,"N",,
"2020-08-01 09:44:56","210.211.96.17",445,,38731,"VN","HO CHI MINH","THANH PHO HO CHI MINH",0,,"N",,
"2020-08-01 09:44:56","14.161.5.207",445,"static.vnpt.vn",45899,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517311,,"N",,
"2020-08-01 09:44:57","27.74.246.71",445,"localhost",7552,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517312,,"N",,
"2020-08-01 09:45:00","27.69.186.140",445,"localhost",7552,"VN","HA NOI","HANOI",517312,,"N",,
"2020-08-01 09:45:00","14.161.3.11",445,"static.vnpt.vn",45899,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517311,,"N",,
"2020-08-01 09:45:00","27.71.229.177",445,,38731,"VN","HA NOI","HANOI",517312,,"N",,
"2020-08-01 09:45:01","27.76.201.57",445,"localhost",7552,"VN","HA NOI","HANOI",517312,,"N",,
"2020-08-01 09:45:03","210.245.20.85",445,,18403,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517311,,"N",,
"2020-08-01 09:45:03","115.84.182.195",445,"mail.acacy.com.vn",38731,"VN","HA NOI","HANOI",0,,"N",,
"2020-08-01 09:45:03","113.164.17.140",445,"static.vnpt.vn",45899,"VN","DA NANG","DA NANG",517311,,"N",,
"2020-08-01 09:45:05","103.74.120.202",445,,135967,"VN","HA NOI","HANOI",0,,"N",,
"2020-08-01 09:45:05","203.113.173.36",445,"vt136.b2bdomain.com",7552,"VN","HA NOI","HANOI",517312,,"N",,
"2020-08-01 09:45:05","118.71.113.51",445,"ip-address-pool-xxx.fpt.vn",18403,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517311,,"N",,
"2020-08-01 09:45:05","125.212.244.27",445,,3873,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517312,,"N",,
"2020-08-01 09:45:06","152.32.161.68",445,,135377,"VN","HO CHI MINH","THANH PHO HO CHI MINH",0,,"N",,
"2020-08-01 09:45:06","118.69.66.68",445,,18403,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517311,,"N",,
"2020-08-01 09:45:06","14.161.4.72",445,"static.vnpt.vn",45899,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517311,,"N",,
"2020-08-01 09:45:08","123.20.248.143",445,,45899,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517311,,"N",,
"2020-08-01 09:45:10","113.190.252.99",445,"static.vnpt-hanoi.com.vn",45899,"VN","HA NOI","HANOI",517311,,"N",,
"2020-08-01 09:45:11","113.188.184.172",445,"static.vnpt.vn",45899,"VN","HA NOI","HANOI",517311,,"N",,
