"timestamp","ip","protocol","port","hostname","tag","asn","geo","region","city","naics","sic"
"2020-08-01 12:06:56","203.113.157.30","tcp",4786,,"cisco-smart-install",7552,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517312,
"2020-08-01 12:06:58","118.69.132.34","tcp",4786,,"cisco-smart-install",18403,"VN","CAN THO","CAN THO",517311,
"2020-08-01 12:07:06","203.162.128.7","tcp",4786,"static.vnpt.vn","cisco-smart-install",45899,"VN","HA NOI","HANOI",517311,
"2020-08-01 12:07:07","222.255.95.105","tcp",4786,"static.vnpt.vn","cisco-smart-install",45899,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517311,
"2020-08-01 12:07:07","203.113.144.185","tcp",4786,,"cisco-smart-install",7552,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517312,
"2020-08-01 12:07:49","203.113.144.136","tcp",4786,,"cisco-smart-install",7552,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517312,
"2020-08-01 12:07:59","118.71.255.46","tcp",4786,,"cisco-smart-install",18403,"VN","HA NOI","HANOI",517311,
"2020-08-01 12:08:26","101.96.87.7","tcp",4786,"ci96.87-7.netnam.vn","cisco-smart-install",24173,"VN","HA NOI","HANOI",0,
"2020-08-01 12:08:26","118.70.232.178","tcp",4786,,"cisco-smart-install",18403,"VN","HA NOI","HANOI",517311,
"2020-08-01 12:08:32","125.234.136.65","tcp",4786,"125.234.136.65.hcm.viettel.vn","cisco-smart-install",7552,"VN","HO CHI MINH","THANH PHO HO CHI MINH",0,
"2020-08-01 12:08:54","222.255.79.62","tcp",4786,"static.vnpt.vn","cisco-smart-install",45899,"VN","HA NOI","HANOI",517311,
"2020-08-01 12:08:56","118.69.163.26","tcp",4786,,"cisco-smart-install",18403,"VN","HA NOI","HANOI",517311,
"2020-08-01 12:09:17","14.225.5.223","tcp",4786,,"cisco-smart-install",135905,"VN","HA NOI","HANOI",517311,
"2020-08-01 12:09:17","203.205.51.152","tcp",4786,"static.cmcti.vn","cisco-smart-install",45903,"VN","QUANG NAM","HOI AN",0,
"2020-08-01 12:09:17","103.97.125.8","tcp",4786,"no-ptr.123host.vn","cisco-smart-install",56153,"VN","HO CHI MINH","THANH PHO HO CHI MINH",0,
"2020-08-01 12:09:19","116.212.36.20","tcp",4786,,"cisco-smart-install",55322,"VN","HA NOI","HANOI",0,
"2020-08-01 12:09:25","14.225.3.197","tcp",4786,,"cisco-smart-install",45899,"VN","HA NOI","HANOI",517311,
"2020-08-01 12:09:28","42.112.38.4","tcp",4786,,"cisco-smart-install",18403,"VN","HA NOI","HANOI",517311,
"2020-08-01 12:09:50","125.212.250.170","tcp",4786,,"cisco-smart-install",3873,"VN","HA NOI","HANOI",517312,
"2020-08-01 12:09:59","111.91.233.70","tcp",4786,,"cisco-smart-install",45896,"VN","HA NOI","HANOI",0,
"2020-08-01 12:10:14","103.98.148.1","tcp",4786,,"cisco-smart-install",135921,"VN","HA NOI","HANOI",0,
"2020-08-01 12:10:23","202.60.105.212","tcp",4786,,"cisco-smart-install",24088,"VN","HA NOI","HANOI",519130,
"2020-08-01 12:10:24","152.32.162.254","tcp",4786,,"cisco-smart-install",135377,"VN","HO CHI MINH","THANH PHO HO CHI MINH",0,
"2020-08-01 12:10:24","101.99.50.180","tcp",4786,"static.cmcti.vn","cisco-smart-install",45903,"VN","DA NANG","DA NANG",0,
"2020-08-01 12:10:44","123.30.116.46","tcp",4786,"static.vnpt.vn","cisco-smart-install",45899,"VN","BA RIA-VUNG TAU","VUNG TAU",517311,
