timestamp,ip,protocol,port,hostname,tag,asn,geo,region,city,naics,sic,programs,mountd_port,exports,sector
8/1/2020 6:35,103.92.27.123,udp,111,,portmapper,135915,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,,100000 4 111/udp; 100000 3 111/udp; 100000 2 111/udp; 100000 4 111/udp; 100000 3 111/udp; 100000 2 111/udp; 100024 1 51493/udp; 100024 1 45205/udp;,,,Communications
8/1/2020 6:35,27.3.147.1,udp,111,,portmapper,45543,VN,HAI PHONG,HAI PHONG,0,,100000 2 111/udp; 100000 2 111/udp; 939524107 1 10011/udp; 939524107 2 10011/udp; 939524111 1 819/udp; 939524111 2 819/udp; 939524098 1 10002/udp; 939524098 2 10002/udp; 939524102 1 911/udp; 939524102 2 911/udp; 939524146 1 932/udp; 939524146 2 932/udp; 939524110 1 10014/udp; 939524110 2 10014/udp; 939524241 1 605/udp; 939524178 1 606/udp; 939524178 2 606/udp; 939524177 1 604/udp; 939524177 2 604/udp; 939524112 1 10016/udp; 939524106 2 10016/udp; 939524240 1 609/udp; 939524240 2 609/udp; 939524129 1 10033/udp; 939524129 2 10033/udp; 939524132 1 10036/udp; 939524132 2 10036/udp; 939524130 1 642/udp; 939524130 2 642/udp; 939524147 1 10051/udp; 939524147 2 10051/udp; 939524109 1 818/udp; 939524109 2 818/udp; 939524115 1 10019/udp; 939524115 2 10019/udp; 939524115 0 10019/udp;,,,Communications
8/1/2020 6:35,112.197.40.1,udp,111,,portmapper,45543,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,,100000 2 111/udp; 100000 2 111/udp; 939524256 1 10145/udp; 939524256 2 10145/udp; 939524107 1 10011/udp; 939524107 2 10011/udp; 939524111 1 10015/udp; 939524111 2 10015/udp; 939524098 1 10002/udp; 939524098 2 10202/udp; 939524275 2 10152/udp; 939524101 1 10005/udp; 939524101 2 10005/udp; 939524146 1 58845/udp; 939524146 2 58845/udp; 939524109 1 10013/udp; 939524109 2 10013/udp; 939524110 1 10014/udp; 939524110 2 10014/udp; 939524179 1 33346/udp; 939524179 2 33346/udp; 939524178 1 10082/udp; 939524178 2 10082/udp; 939524241 1 51411/udp; 939524273 1 10148/udp; 939524177 1 38048/udp; 939524177 2 38048/udp; 939524112 1 10016/udp; 939524106 2 10016/udp; 939524129 1 10033/udp; 939524129 2 10033/udp; 939524274 1 10150/udp; 939524274 2 10150/udp; 939524132 1 10036/udp; 939524132 2 10036/udp; 939524130 1 10034/udp; 939524130 2 10034/udp; 939524240 1 53656/udp; 939524240 2 53656/udp; 939528243 2 10053/udp; 939524147 1 10051/udp; 939524272 1 10147/udp; 939524272 2 10147/udp; 536871041 1 10300/udp; 536871041 2 10300/udp; 939524115 1 10019/udp; 939524115 2 10019/udp; 939524115 0 10019/udp;,,,Communications
8/1/2020 6:35,152.32.161.101,udp,111,,portmapper,135377,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,,100000 4 111/udp; 100000 3 111/udp; 100000 2 111/udp; 100000 4 111/udp; 100000 3 111/udp; 100000 2 111/udp;,,,Information Technology
8/1/2020 6:35,103.232.123.73,udp,111,,portmapper,56150,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,,100000 4 111/udp; 100000 3 111/udp; 100000 2 111/udp; 100000 4 111/udp; 100000 3 111/udp; 100000 2 111/udp;,,,Communications
8/1/2020 6:35,123.30.52.74,udp,111,vnptnet.vn,portmapper,45899,VN,HA NOI,HANOI,517311,,100000 4 111/udp; 100000 3 111/udp; 100000 2 111/udp; 100000 4 111/udp; 100000 3 111/udp; 100000 2 111/udp; 1073741824 1 32806/udp; 100024 1 32794/udp; 100024 1 32808/udp; 100133 1 32794/udp; 100133 1 32808/udp; 100021 1 4045/udp; 100021 2 4045/udp; 100021 3 4045/udp; 100021 4 4045/udp; 100021 1 4045/udp; 100021 2 4045/udp; 100021 3 4045/udp; 100021 4 4045/udp; 300598 1 32802/udp; 300598 1 32816/udp; 100249 1 32803/udp; 100249 1 32817/udp; 805306368 1 32802/udp; 805306368 1 32816/udp; 100001 2 32809/udp; 100001 3 32809/udp; 100001 4 32809/udp; 100011 1 32811/udp; 100002 2 32824/udp; 100002 3 32824/udp; 100002 2 32813/udp; 100002 3 32813/udp; 100068 2 32815/udp; 100068 3 32815/udp; 100068 4 32815/udp; 100068 5 32815/udp; 100083 1 32826/udp; 100068 2 46033/udp; 100068 3 46033/udp; 100068 4 46033/udp; 100068 5 46033/udp;,,,Communications
8/1/2020 6:35,103.69.195.219,udp,111,capt-se195.bizflycloud.vn,portmapper,135905,VN,HA NOI,HANOI,0,,100000 4 111/udp; 100000 3 111/udp; 100000 2 111/udp; 100000 4 111/udp; 100000 3 111/udp; 100000 2 111/udp;,,,Communications
8/1/2020 6:35,123.30.41.159,udp,111,,portmapper,45899,VN,HA NOI,HANOI,517311,,100000 4 111/udp; 100000 3 111/udp; 100000 2 111/udp; 100000 4 111/udp; 100000 3 111/udp; 100000 2 111/udp;,,,Communications
8/1/2020 6:35,42.114.104.45,udp,111,,portmapper,18403,VN,HA NOI,HANOI,517311,,100000 4 111/udp; 100000 3 111/udp; 100000 2 111/udp; 100000 4 111/udp; 100000 3 111/udp; 100000 2 111/udp;,,,Communications
8/1/2020 6:35,103.9.76.213,udp,111,,portmapper,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,,100000 4 111/udp; 100000 3 111/udp; 100000 2 111/udp; 100000 4 111/udp; 100000 3 111/udp; 100000 2 111/udp;,,,Communications
