timestamp,ip,protocol,port,hostname,tag,version,asn,geo,region,city,naics,sic,git_sha1,git_dirty_flag,build_id,mode,os,architecture,multiplexing_api,gcc_version,process_id,run_id,uptime,connected_clients,sector
8/1/2020 19:24,118.71.0.166,tcp,6379,mail.dms.gov.vn,redis,6.0.1,18403,VN,HA NOI,HANOI,517311,,0,0,2ba45b213f4a563d,standalone,Linux 3.10.0-1062.18.1.el7.x86_64 x86_64,,epoll,8.3.1,2717,e32786a8f292a58d5b5e0a59c37c8db949c906e3,5311492,3,Communications
8/1/2020 19:24,118.27.192.152,tcp,6379,v118-27-192-152.bokg.static.cnode.io,redis,3.0.504,131392,VN,HA NOI,HANOI,0,,0,0,a4f7a6e86f2d60b3,standalone,Windows,,WinSock_IOCP,,3788,61481c51aafdfc8d6b8bb29c02d92b54b9de4b67,132917,9,Communications
8/1/2020 19:25,103.249.103.60,tcp,6379,,redis,6.0.6,45538,VN,DONG NAI,BIEN HOA,0,,0,0,3f4720fbc51b9c9,standalone,Linux 3.10.0-1127.13.1.el7.x86_64 x86_64,,epoll,8.3.1,1045,4b12e67d619a95ae76ce4512c354e1c546626b95,61445,9,Communications
8/1/2020 19:25,103.229.192.224,tcp,6379,static.vietnamhost.com.vn,redis,3.0.504,131404,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,,0,0,a4f7a6e86f2d60b3,standalone,Windows,,WinSock_IOCP,,1704,86ac4695d0ef7ac493541ae8459f4b3b9bf56410,13115265,290,Communications
8/1/2020 19:25,103.130.218.185,tcp,6379,nckit.xyz,redis,6.0.6,135951,VN,HA NOI,HANOI,0,,0,0,97204d6a2bf74d2c,standalone,Linux 3.10.0-1062.12.1.vz7.131.10 x86_64,,epoll,8.3.0,1,0610f137c3660db22ff3063ff5fbd0aad7d1676e,86410,21,Communications
8/1/2020 19:25,103.130.219.142,tcp,6379,,redis,5.0.9,135951,VN,HA NOI,HANOI,0,,0,0,659de0c1cd73c807,standalone,Linux 4.15.0 x86_64,,epoll,8.3.0,1,b5919640b26d405665cf3c40877f9159b0fc7ae5,1953275,1,Communications
8/1/2020 19:25,123.30.127.133,tcp,6379,static.vnpt.vn,redis,4.0.9,7643,VN,HA NOI,HANOI,517311,,0,0,9435c3c2879311f3,standalone,Linux 4.15.0-108-generic x86_64,,epoll,7.4.0,1181,08f4aabe94be17cfa4a690b61ffe819f9ee957bf,2565450,2,Communications
8/1/2020 19:25,202.143.111.228,tcp,6379,ip.viettelidchcm.com,redis,4.0.9,56158,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,,0,0,9435c3c2879311f3,standalone,Linux 4.15.0-112-generic x86_64,,epoll,7.4.0,1032,10b1bbdbce857ed1de6ae0b293a4d5b74c67c409,313461,8,Communications
8/1/2020 19:25,103.130.219.109,tcp,6379,,redis,6.0.5,135951,VN,HA NOI,HANOI,0,,0,0,db63ea56716d515f,standalone,Linux 3.10.0 x86_64,,epoll,8.3.0,1,d7000a2e53fb6b1f5a977b767ee13ba05cccd634,4285739,26,Communications
8/1/2020 19:25,113.22.52.62,tcp,6379,,redis,6.0.4,18403,VN,HA NOI,HANOI,517311,,0,0,d5d470262d47f1a0,standalone,Linux 3.10.0-1127.el7.x86_64 x86_64,,epoll,8.3.0,1,02eae69ed7d5680aeb892936655d9c87a508c246,659384,7,Communications
8/1/2020 19:25,183.91.14.168,tcp,6379,static.cmcti.vn,redis,3.0.504,38732,VN,HA NOI,HANOI,0,,0,0,a4f7a6e86f2d60b3,standalone,Windows,,WinSock_IOCP,,1704,5a70442d7b01a65e6999ac17e3b5e4469c2ab8bc,989275,5,Communications
8/1/2020 19:25,119.82.135.143,tcp,6379,static.cmcti.vn,redis,4.0.9,45903,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,,0,0,9435c3c2879311f3,standalone,Linux 4.15.0-111-generic x86_64,,epoll,7.4.0,5460,52b8f030e4b965699f3b85a2c1769c187c02fe35,1314564,2,Communications
8/1/2020 19:26,118.69.81.47,tcp,6379,,redis,3.0.504,18403,VN,HO CHI MINH,THANH PHO HO CHI MINH,517311,,0,0,a4f7a6e86f2d60b3,standalone,Windows,,WinSock_IOCP,,16308,0f5a3c3627fd4843dda89189bada63488cecef9e,2114085,6,Communications
8/1/2020 19:26,103.1.238.166,tcp,6379,mx238166.superdata.vn,redis,6.0.1,45544,VN,HA NOI,HANOI,0,,0,0,4935af324665042b,standalone,Linux 4.15.0-22-generic x86_64,,epoll,8.3.0,1,68bbf5717ac5d0469e050c1c10addfcb354ce4f3,6621184,2,Communications
