timestamp,ip,protocol,port,hostname,asn,geo,region,city,version,clk_wander,clock,error,frequency,jitter,leap,mintc,noise,offset,peer,phase,poll,precision,processor,refid,reftime,rootdelay,rootdispersion,stability,state,stratum,system,tai,tc,naics,sic,sector
8/1/2020 3:38,123.20.241.150,udp,123,,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,ntpd 4.2.6p3@1.2290 Mon Oct  8 09:11:14 UTC 2018 (68),0,0xe2cf621c.676f8d54,,0,0,0,3,,0,,,,-14,armv7l,127.127.1.0,0xe2cf6200.2b3e399f,0,11.468,,,6,Linux/3.18.20,,6,517311,,Communications
8/1/2020 3:38,14.187.176.80,udp,123,static.vnpt.vn,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,ntpd 4.2.6p3@1.2290 Fri Mar 11 20:26:06 UTC 2016 (51),0,0xe2d00974.aa4c9ec8,,0,0,0,3,,0,,,,-14,armv7l,127.127.1.0,0xe2d00943.4fff746b,0,11.783,,,6,Linux/3.10.0,,6,517311,,Communications
8/1/2020 3:38,222.254.20.51,udp,123,,45899,VN,HA NOI,HANOI,ntpd 4.2.6p3@1.2290 Fri Mar 11 20:26:06 UTC 2016 (51),0,0xe2cf76e0.35d247c1,,0,0,0,3,,0,,,,-14,armv7l,127.127.1.0,0xe2cf76a2.208753c1,0,11.978,,,6,Linux/3.10.0,,6,517311,,Communications
8/1/2020 3:38,103.205.97.237,udp,123,,63731,VN,HO CHI MINH,THANH PHO HO CHI MINH,4,,0xe2cf621e.dfb747c8,,8.942,0.977,0,,1.037,2.068,,,10,-10,unknown,172.20.30.71,0xe2cf618a.36595ad3,292.267,144.954,0.031,4,4,UNIX,,,0,,Communications
8/1/2020 3:38,117.4.139.56,udp,123,localhost,7552,VN,NGHE AN,VINH,ntpd 4.2.8p12@1.3728-o Wed Oct  3 14:21:49 UTC 2018 (1),0.05,0xe2cf6221.70611e3e,,30.902,0,0,3,,0.314,,,,-24,amd64,210.245.100.39,0xe2cf5ce9.aafccaa5,120.238,49.619,,,3,FreeBSD/11.2-RELEASE-p4,,9,517312,,Communications
8/1/2020 3:38,125.212.227.193,udp,123,,38731,VN,HA NOI,HANOI,,,0xE2CF6223.1F045298,16.01,6.74,,0,,,,12610,,10,,,210.245.100.39,0xE2CF6096.3BB95806,114.53,36.85,,,3,cisco,,,517312,,Communications
8/1/2020 3:38,137.59.104.34,udp,123,,131392,VN,HA NOI,HANOI,4,0,0xE2CF7251.A0C49D60,,0,0,3,3,,0,,,,-10,unknown,INIT,0x00000000.00000000,0,0,,,16,UNIX,,3,0,,Information Technology
8/1/2020 3:38,112.78.0.8,udp,123,,45538,VN,HO CHI MINH,THANH PHO HO CHI MINH,,,0xE2CF6230.9925140F,0.03,-101.33,,3,,,,0,,7,,,112.78.0.6,0xDEC7E198.62601A95,251.28,66.42,,,16,cisco,,,0,,Communications
8/1/2020 3:38,203.77.178.254,udp,123,,24174,VN,HO CHI MINH,THANH PHO HO CHI MINH,4,,0xE2CF6226.75810768,,0,0,0,,0,0,,,10,-6,unknown,192.168.2.2,0xE2CF5E67.589375B0,0,0,0,4,4,UNIX,,,0,,Communications
8/1/2020 3:38,42.114.255.46,udp,123,,18403,VN,HA NOI,HANOI,ntpd 4.2.8p10@1.3728-o Wed May  3 18:47:55 UTC 2017 (1),0,0xe2cf618d.984d875a,,-20.377,0,0,3,,0.585,,,,-23,amd64,127.0.0.1,0xe113cf53.3af09da7,0,0,,,12,FreeBSD/10.3-RELEASE-p19,,6,517311,,Communications
