"timestamp","ip","protocol","port","hostname","tag","version","asn","geo","region","city","naics","sic"
"2020-08-01 10:54:49","14.170.12.176","tcp",4899,"static.vnpt.vn","radmin","Radmin v3.X Radmin Authentication",45899,"VN","THANH HOA","THANH HOA",517311,
"2020-08-01 10:55:07","45.125.239.249","tcp",4899,"static.ftech.vn","radmin","Radmin v3.X Radmin Authentication",18403,"VN","HA NOI","HANOI",0,
"2020-08-01 10:55:07","118.70.132.87","tcp",4899,,"radmin","Radmin v3.X Radmin Authentication",18403,"VN","HA NOI","HANOI",517311,
"2020-08-01 10:55:08","123.21.10.129","tcp",4899,,"radmin","Radmin v3.X Radmin Authentication",45899,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517311,
"2020-08-01 10:55:35","14.162.204.16","tcp",4899,"static.vnpt.vn","radmin","Radmin v3.X Radmin Authentication",45899,"VN","HA NOI","HANOI",517311,
"2020-08-01 10:55:43","27.72.164.116","tcp",4899,"dynamic-ip-adsl.viettel.vn","radmin","Radmin v3.X Radmin Authentication",7552,"VN","THAI NGUYEN","THAI NGUYEN",517312,
"2020-08-01 10:56:15","14.226.87.61","tcp",4899,"static.vnpt.vn","radmin","Radmin v3.X Radmin Authentication",45899,"VN","THANH HOA","THANH HOA",517311,
"2020-08-01 10:56:21","117.6.118.151","tcp",4899,,"radmin","Radmin v3.X Radmin Authentication",7552,"VN","HUNG YEN","HUNG YEN",517312,
"2020-08-01 10:56:22","113.167.131.65","tcp",4899,"static.vnpt.vn","radmin","Radmin v3.X Radmin Authentication",45899,"VN","HA NOI","HANOI",517311,
"2020-08-01 10:56:22","221.133.0.21","tcp",4899,,"radmin","Radmin v3.X Radmin Authentication",7602,"VN","HA NOI","HANOI",0,
"2020-08-01 10:56:22","27.2.187.147","tcp",4899,,"radmin","Radmin v3.X Radmin Authentication",45543,"VN","GIA LAI","PLEIKU",0,
"2020-08-01 10:56:31","113.160.144.125","tcp",4899,"static.vnpt.vn","radmin","Radmin v3.X Radmin Authentication",45899,"VN","HA NOI","HANOI",517311,
"2020-08-01 10:56:32","113.168.79.19","tcp",4899,"static.vnpt.vn","radmin","Radmin v3.X Radmin Authentication",45899,"VN","THANH HOA","THANH HOA",517311,
"2020-08-01 10:56:32","117.6.86.138","tcp",4899,,"radmin","Radmin v3.X Radmin Authentication",7552,"VN","HA NOI","HANOI",517312,
"2020-08-01 10:57:19","222.254.77.228","tcp",4899,"static.vnpt.vn","radmin","Radmin v3.X Radmin Authentication",45899,"VN","THAI NGUYEN","THAI NGUYEN",517311,
"2020-08-01 10:57:20","117.6.119.248","tcp",4899,,"radmin","Radmin v3.X Radmin Authentication",7552,"VN","HUNG YEN","HUNG YEN",517312,
"2020-08-01 10:57:20","113.160.172.75","tcp",4899,"static.vnpt.vn","radmin","Radmin (Details Unknown)",45899,"VN","NGHE AN","VINH",517311,
"2020-08-01 10:57:20","27.72.58.10","tcp",4899,,"radmin","Radmin v3.X Radmin Authentication",7552,"VN","HA NOI","HANOI",517312,
"2020-08-01 10:57:21","117.2.155.101","tcp",4899,"localhost","radmin","Radmin v3.X Radmin Authentication",7552,"VN","DA NANG","DA NANG",517312,
"2020-08-01 10:57:51","222.255.175.109","tcp",4899,"static.vnpt.vn","radmin","Radmin v3.X Radmin Authentication",45899,"VN","DA NANG","DA NANG",517311,
"2020-08-01 10:57:51","123.30.133.50","tcp",4899,"mail.stocklongtime.com","radmin","Radmin v3.X Source IP blocked",7643,"VN","HA NOI","HANOI",517311,
"2020-08-01 10:57:52","42.116.41.8","tcp",4899,,"radmin","Radmin v3.X Radmin Authentication",18403,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517311,
"2020-08-01 10:57:53","113.160.205.83","tcp",4899,,"radmin","Radmin v3.X Radmin Authentication",45899,"VN","HAI PHONG","HAI PHONG",517311,
"2020-08-01 10:57:56","113.184.55.184","tcp",4899,"static.vnpt.vn","radmin","Radmin v3.X Radmin Authentication",45899,"VN","HA NOI","HANOI",517311,
"2020-08-01 10:58:14","113.181.194.196","tcp",4899,"static.vnpt.vn","radmin","Radmin v3.X Radmin Authentication",45899,"VN","THANH HOA","THANH HOA",517311,
"2020-08-01 10:58:17","113.181.63.69","tcp",4899,"static.vnpt.vn","radmin","Radmin v3.X Radmin Authentication",45899,"VN","THANH HOA","THANH HOA",517311,
"2020-08-01 10:58:21","123.30.133.84","tcp",4899,"mail.sinnika.com","radmin","Radmin v3.X Source IP blocked",7643,"VN","HA NOI","HANOI",517311,
"2020-08-01 10:58:29","123.24.189.102","tcp",4899,,"radmin","Radmin v3.X Radmin Authentication",45899,"VN","HA NOI","HANOI",517311,
"2020-08-01 10:58:33","113.162.247.44","tcp",4899,"dynamic.vdc.vn","radmin","Radmin v3.X Radmin Authentication",45899,"VN","LANG SON","LANG SON",517311,
"2020-08-01 10:58:42","103.124.92.234","tcp",4899,,"radmin","Radmin v3.0 Windows",131353,"VN","HA NOI","HANOI",0,
"2020-08-01 10:58:42","123.25.219.30","tcp",4899,"static.vdc.vn","radmin","Radmin v3.X Radmin Authentication",45899,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517311,
"2020-08-01 10:58:57","117.6.121.227","tcp",4899,,"radmin","Radmin v3.X Radmin Authentication",7552,"VN","HA NOI","HANOI",517312,
"2020-08-01 10:59:05","123.16.90.135","tcp",4899,"static.vnpt.vn","radmin","Radmin v3.X Radmin Authentication",45899,"VN","HA NOI","HANOI",517311,
"2020-08-01 10:59:08","123.30.133.82","tcp",4899,"mail.ppj-hue.com","radmin","Radmin v3.X Source IP blocked",7643,"VN","HA NOI","HANOI",517311,
"2020-08-01 10:59:08","113.184.21.184","tcp",4899,"static.vnpt.vn","radmin","Radmin v3.X Radmin Authentication",45899,"VN","THANH HOA","THANH HOA",517311,
"2020-08-01 10:59:32","117.7.19.3","tcp",4899,"localhost","radmin","Radmin v3.X Radmin Authentication",7552,"VN","BAC GIANG","BAC GIANG",517312,
"2020-08-01 10:59:44","222.252.215.176","tcp",4899,"static.vnpt.vn","radmin","Radmin v3.X Radmin Authentication",45899,"VN","HA NOI","HANOI",517311,
"2020-08-01 10:59:56","14.162.45.118","tcp",4899,"static.vnpt.vn","radmin","Radmin v3.X Radmin Authentication",45899,"VN","HA NOI","HANOI",517311,
"2020-08-01 10:59:56","14.251.228.115","tcp",4899,"static.vnpt.vn","radmin","Radmin v3.0 Windows",45899,"VN","HA NOI","HANOI",517311,
"2020-08-01 10:59:56","222.255.175.115","tcp",4899,"static.vnpt.vn","radmin","Radmin v3.X Radmin Authentication",45899,"VN","DA NANG","DA NANG",517311,
"2020-08-01 10:59:59","222.255.175.225","tcp",4899,"mail.thanhthanhtravel.vn","radmin","Radmin v3.X Radmin Authentication",45899,"VN","DA NANG","DA NANG",517311,
