"timestamp","ip","protocol","port","hostname","tag","asn","geo","region","city","naics","sic","anonymous_access","raw_response","hex_code","code"
"2020-08-01 19:10:30","113.161.168.5","tcp",1883,"static.vnpt.vn","mqtt",45899,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517311,,"Y",20020000,00,"Connection Accepted"
"2020-08-01 19:10:32","45.124.94.132","tcp",1883,,"mqtt",45899,"VN","HUNG YEN","HUNG YEN",0,,"Y",20020000,00,"Connection Accepted"
"2020-08-01 19:10:32","14.253.174.20","tcp",1883,"static.vnpt.vn","mqtt",45899,"VN","HA NOI","HANOI",517311,,"Y",20020000,00,"Connection Accepted"
"2020-08-01 19:10:33","171.240.157.167","tcp",1883,"dynamic-adsl.viettel.vn","mqtt",7552,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517312,,"N",20020005,05,"Connection Refused, not authorized"
"2020-08-01 19:10:35","14.169.177.186","tcp",1883,"static.vnpt.vn","mqtt",45899,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517311,,"Y",20020000,00,"Connection Accepted"
"2020-08-01 19:10:35","61.28.230.46","tcp",1883,,"mqtt",38244,"VN","HO CHI MINH","THANH PHO HO CHI MINH",0,,"Y",20020000,00,"Connection Accepted"
"2020-08-01 19:10:41","123.21.184.46","tcp",1883,,"mqtt",45899,"VN","HA NOI","HANOI",517311,,"N",20020005,05,"Connection Refused, not authorized"
"2020-08-01 19:10:41","45.119.213.226","tcp",1883,"waywork.vn","mqtt",131423,"VN","HA NOI","HANOI",0,,"N",20020005,05,"Connection Refused, not authorized"
"2020-08-01 19:10:45","118.70.233.43","tcp",1883,,"mqtt",18403,"VN","HA NOI","HANOI",517311,,"N",20020005,05,"Connection Refused, not authorized"
"2020-08-01 19:10:51","116.104.209.209","tcp",1883,"dynamic-ip-adsl.viettel.vn","mqtt",7552,"VN","THAI BINH","THAI BINH",517312,,"Y",20020000,00,"Connection Accepted"
"2020-08-01 19:10:51","103.255.236.68","tcp",1883,"no-ptr.123host.vn","mqtt",45899,"VN","HO CHI MINH","THANH PHO HO CHI MINH",0,,"N",20020005,05,"Connection Refused, not authorized"
"2020-08-01 19:10:51","171.244.51.202","tcp",1883,,"mqtt",38731,"VN","HA NOI","HANOI",517312,,"N",20020005,05,"Connection Refused, not authorized"
"2020-08-01 19:10:52","42.115.151.194","tcp",1883,,"mqtt",18403,"VN","HA NOI","HANOI",517311,,"Y",20020000,00,"Connection Accepted"
"2020-08-01 19:10:52","222.252.107.20","tcp",1883,"static.vnpt.vn","mqtt",45899,"VN","HA NOI","HANOI",517311,,"N",20020005,05,"Connection Refused, not authorized"
"2020-08-01 19:10:53","123.19.227.109","tcp",1883,,"mqtt",45899,"VN","DA NANG","DA NANG",517311,,"N",20020005,05,"Connection Refused, not authorized"
"2020-08-01 19:10:54","14.161.133.195","tcp",1883,"static.vnpt.vn","mqtt",45899,"VN","DONG THAP","CAO LANH",517311,,"N",20020005,05,"Connection Refused, not authorized"
"2020-08-01 19:10:54","171.224.78.23","tcp",1883,"dynamic-ip-adsl.viettel.vn","mqtt",7552,"VN","HA NOI","HANOI",517312,,"Y",20020000,00,"Connection Accepted"
"2020-08-01 19:10:55","113.161.23.179","tcp",1883,"static.vnpt.vn","mqtt",45899,"VN","GIA LAI","PLEIKU",517311,,"Y",20020000,00,"Connection Accepted"
"2020-08-01 19:10:56","113.160.187.213","tcp",1883,"static.vnpt.vn","mqtt",45899,"VN","THANH HOA","THANH HOA",517311,,"Y",20020000,00,"Connection Accepted"
"2020-08-01 19:10:59","115.76.46.218","tcp",1883,"adsl.viettel.vn","mqtt",7552,"VN","TRA VINH","TRA VINH",517312,,"N",20020005,05,"Connection Refused, not authorized"
"2020-08-01 19:11:09","116.104.214.65","tcp",1883,"dynamic-ip-adsl.viettel.vn","mqtt",7552,"VN","THAI BINH","THAI BINH",517312,,"Y",20020000,00,"Connection Accepted"
"2020-08-01 19:11:09","103.56.157.67","tcp",1883,,"mqtt",45899,"VN","HA NOI","HANOI",0,,"N",20020004,04,"Connection Refused, bad user name or password"
"2020-08-01 19:11:10","115.77.190.202","tcp",1883,,"mqtt",7552,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517312,,"N",20020005,05,"Connection Refused, not authorized"
"2020-08-01 19:11:13","103.60.17.52","tcp",1883,,"mqtt",131435,"VN","HO CHI MINH","THANH PHO HO CHI MINH",0,,"Y",20020000,00,"Connection Accepted"
"2020-08-01 19:11:13","203.171.21.161","tcp",1883,"static.cmcti.vn","mqtt",45903,"VN","HA NOI","HANOI",0,,"Y",20020000,00,"Connection Accepted"
"2020-08-01 19:11:14","27.78.15.41","tcp",1883,"localhost","mqtt",7552,"VN","DA NANG","DA NANG",517312,,"Y",20020000,00,"Connection Accepted"
