timestamp,ip,protocol,port,hostname,tag,asn,geo,region,city,naics,sic,mdns_name,mdns_ipv4,mdns_ipv6,services,workstation_name,workstation_ipv4,workstation_ipv6,workstation_info,http_name,http_ipv4,http_ipv6,http_ptr,http_info,http_target,http_port
8/1/2020 8:24,116.102.43.157,udp,5353,,mdns,24086,VN,HO CHI MINH,THANH PHO HO CHI MINH,517312,,,,,_sftp-ssh._tcp.local.; _htsp._tcp.local.; _smb._tcp.local.; _device-info._tcp.local.; _http._tcp.local.; _xbmc-jsonrpc-h._tcp.local.; _xbmc-events._udp.local.; _xbmc-jsonrpc._tcp.local.; _raop._tcp.local.; _pulse-sink._tcp.local.; _pulse-server._tcp.local.;,,,,,,,,,,,
8/1/2020 8:24,14.236.16.114,udp,5353,static.vnpt.vn,mdns,45899,VN,DA NANG,DA NANG,517311,,,,,_smb._tcp.local.; _http._tcp.local.; _afpovertcp._tcp.local.; _device-info._tcp.local.;,,,,,techdanang.local.,192.168.1.200,,techdanang._http._tcp.local.,"""vendor=Synology"" ""model=DS216j"" ""serial=1670NNN328703"" ""version_major=6"" ""version_minor=2"" ""version_build=25426"" ""admin_port=5000"" ""secure_admin_port=5001"" ""mac_address=00:11:32:61:c5:29""",techdanang.local.,5000
8/1/2020 8:24,123.21.109.145,udp,5353,,mdns,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,517311,,,,,_webdavs._tcp.local.; _webdav._tcp.local.; _smb._tcp.local.; _device-info._tcp.local.; _http._tcp.local.;,,,,,ctycannhadep.local.,192.168.1.7,fe80:0:0:0:211:32ff:fe86:3ecb,ctycannhadep._http._tcp.local.,"""vendor=Synology"" ""model=DS218j"" ""serial=17B0Q2N178524"" ""version_major=6"" ""version_minor=2"" ""version_build=25426"" ""admin_port=5001"" ""secure_admin_port=5002"" ""mac_address=00:11:32:86:3e:cb""",ctycannhadep.local.,5001
8/1/2020 8:24,113.161.144.215,udp,5353,static.vnpt.vn,mdns,45899,VN,HA NOI,HANOI,517311,,,,,_workstation._tcp.local.; _http._tcp.local.; _smb._tcp.local.; _qmobile._tcp.local.; _qdiscover._tcp.local.;,TAKAEOU-NAS.local.,192.168.1.31,,TAKAEOU-NAS [00:08:9b:e6:14:42]._workstation._tcp.local.,TAKAEOU-NAS.local.,192.168.1.31,,TAKAEOU-NAS._http._tcp.local.,"""path=/""",TAKAEOU-NAS.local.,8080
8/1/2020 8:24,123.20.227.227,udp,5353,,mdns,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,517311,,,,,_workstation._tcp.local.; _http._tcp.local.; _smb._tcp.local.; _ftp._tcp.local.; _qmobile._tcp.local.; _qdiscover._tcp.local.;,hbnguyen-nas.local.,192.168.1.20,,hbnguyen-nas [24:5e:be:0a:65:31]._workstation._tcp.local.,hbnguyen-nas.local.,192.168.1.20,,hbnguyen-nas._http._tcp.local.,"""path=/""",hbnguyen-nas.local.,8080
8/1/2020 8:24,115.75.39.67,udp,5353,,mdns,7552,VN,HO CHI MINH,THANH PHO HO CHI MINH,517312,,,,,_smb._tcp.local.; _http._tcp.local.; _afpovertcp._tcp.local.; _device-info._tcp.local.;,,,,,DISKSTATION.local.,192.168.1.22,fe80:0:0:0:211:32ff:fe99:235c,DISKSTATION._http._tcp.local.,"""vendor=Synology"" ""model=DS218+"" ""serial=1880PCN654813"" ""version_major=6"" ""version_minor=2"" ""version_build=25426"" ""admin_port=5000"" ""secure_admin_port=5001"" ""mac_address=00:11:32:99:23:5c""",DISKSTATION.local.,5000
8/1/2020 8:24,115.74.208.67,udp,5353,adsl.viettel.vn,mdns,7552,VN,BAC LIEU,BAC LIEU,517312,,,,,_smb._tcp.local.; _http._tcp.local.; _afpovertcp._tcp.local.; _device-info._tcp.local.;,,,,,Bac_Lieu.local.,192.168.0.220,fe80:0:0:0:211:32ff:fe6b:9d1c,Bac_Lieu._http._tcp.local.,"""vendor=Synology"" ""model=DS216j"" ""serial=1730NNN834519"" ""version_major=6"" ""version_minor=2"" ""version_build=24922"" ""admin_port=5000"" ""secure_admin_port=5001"" ""mac_address=00:11:32:6b:9d:1c""",Bac_Lieu.local.,5000
8/1/2020 8:25,123.31.45.17,udp,5353,static.vnpt.vn,mdns,45899,VN,HA NOI,HANOI,517311,,,,,_workstation._tcp.local.; _ssh._tcp.local.;,sipcloud05.local.,123.31.45.17,fe80:0:0:0:20c:29ff:fe92:84cf,sipcloud05 [00:0c:29:92:84:cf]._workstation._tcp.local.,,,,,,,
8/1/2020 8:25,123.30.134.132,udp,5353,static.vnpt.vn,mdns,7643,VN,HA NOI,HANOI,517311,,,,,_workstation._tcp.local.;,stream94-9.local.,123.30.134.132 123.30.134.219,,stream94-9 [ec:f4:bb:c2:80:48]._workstation._tcp.local.,,,,,,,
8/1/2020 8:25,171.241.80.170,udp,5353,dynamic-adsl.viettel.vn,mdns,7552,VN,HA NOI,HANOI,517312,,,,,_http._tcp.local.;,,,,,TamLe-DS.local.,192.168.1.219,fe80:0:0:0:1290:27ff:fee8:6a2a,TamLe-DS._http._tcp.local.,"""vendor=Synology"" ""model=DS3615xs"" ""serial=1230LWN014675"" ""version_major=6"" ""version_minor=2"" ""version_build=25426"" ""admin_port=5000"" ""secure_admin_port=5001"" ""mac_address=10:90:27:e8:6a:2a|10:90:27:e8:6a:29""",TamLe-DS.local.,5000
8/1/2020 8:25,103.98.152.73,udp,5353,,mdns,131374,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,,,,,_workstation._tcp.local.;,localhost.local.,103.98.152.73,,localhost [8e:10:1f:69:80:46]._workstation._tcp.local.,,,,,,,
8/1/2020 8:25,27.72.98.223,udp,5353,dynamic-ip-adsl.viettel.vn,mdns,7552,VN,HA NOI,HANOI,517312,,,,,_smb._tcp.local.; _http._tcp.local.; _afpovertcp._tcp.local.; _device-info._tcp.local.;,,,,,WELAND.local.,192.168.1.2,fe80:0:0:0:211:32ff:fe72:a33f,WELAND._http._tcp.local.,"""vendor=Synology"" ""model=DS416"" ""serial=1710NKN865703"" ""version_major=6"" ""version_minor=2"" ""version_build=23739"" ""admin_port=5000"" ""secure_admin_port=5001"" ""mac_address=00:11:32:72:a3:3f|00:11:32:72:a3:40""",WELAND.local.,5000
8/1/2020 8:25,123.31.21.7,udp,5353,static.vnpt.vn,mdns,45899,VN,HA NOI,HANOI,517311,,,,,_smb._tcp.local.; _http._tcp.local.; _afpovertcp._tcp.local.; _device-info._tcp.local.;,,,,,rs816.local.,123.31.21.7,fe80:0:0:0:211:32ff:fe88:d44d,rs816._http._tcp.local.,"""vendor=Synology"" ""model=RS816"" ""serial=1820NWN560400"" ""version_major=6"" ""version_minor=1"" ""version_build=15254"" ""admin_port=5000"" ""secure_admin_port=5001"" ""mac_address=00:11:32:88:d4:4d|00:11:32:88:d4:4e""",rs816.local.,5000
8/1/2020 8:25,123.31.12.62,udp,5353,static.vnpt.vn,mdns,135905,VN,HA NOI,HANOI,517311,,,,,_workstation._tcp.local.;,gdata-3.local.,123.31.12.62,fe80:0:0:0:250:56ff:fe8c:4472,gdata-3 [00:50:56:8c:44:72]._workstation._tcp.local.,,,,,,,
8/1/2020 8:25,125.212.229.44,udp,5353,,mdns,38731,VN,HA NOI,HANOI,517312,,,,,_workstation._tcp.local.;,linux-2.local.,125.212.229.44,fe80:0:0:0:42f2:e9ff:fe9b:c05b,linux-2 [40:f2:e9:9b:c0:5b]._workstation._tcp.local.,,,,,,,
8/1/2020 8:26,103.7.40.237,udp,5353,mx40237.superdata.vn,mdns,45544,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,,,,,_workstation._tcp.local.;,mx40237.local.,103.7.40.237,,mx40237 [00:50:56:92:25:dd]._workstation._tcp.local.,,,,,,,
8/1/2020 8:26,123.31.31.83,udp,5353,static.vnpt.vn,mdns,45899,VN,HA NOI,HANOI,517311,,,,,_workstation._tcp.local.;,centos7-3.local.,123.31.31.83,fe80:0:0:0:250:56ff:febd:c024,centos7-3 [00:50:56:bd:c0:24]._workstation._tcp.local.,,,,,,,
8/1/2020 8:26,113.176.92.129,udp,5353,static.vnpt.vn,mdns,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,517311,,,,,_smb._tcp.local.; _http._tcp.local.; _afpovertcp._tcp.local.; _device-info._tcp.local.;,,,,,CaMau.local.,192.168.1.220,fe80:0:0:0:211:32ff:fe44:3989,CaMau._http._tcp.local.,"""vendor=Synology"" ""model=DS215j"" ""serial=1520MPN429602"" ""version_major=6"" ""version_minor=2"" ""version_build=25426"" ""admin_port=5000"" ""secure_admin_port=5001"" ""mac_address=00:11:32:44:39:89""",CaMau.local.,5000
8/1/2020 8:26,112.213.87.179,udp,5353,mx87179.superdata.vn,mdns,45544,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,,,,,_workstation._tcp.local.;,vps87181-2.local.,112.213.87.179,fe80:0:0:0:250:56ff:feb8:40d7,vps87181-2 [00:50:56:b8:40:d7]._workstation._tcp.local.,,,,,,,
8/1/2020 8:26,222.252.22.130,udp,5353,static.vnpt-hanoi.com.vn,mdns,45899,VN,HA NOI,HANOI,517311,,,,,_workstation._tcp.local.;,mail.local.,192.168.1.3,fe80:0:0:0:4f42:354c:f38a:4cd7,mail [a0:48:1c:a9:fb:f0]._workstation._tcp.local.,,,,,,,
8/1/2020 8:26,125.212.195.38,udp,5353,,mdns,38731,VN,HA NOI,HANOI,517312,,,,,_workstation._tcp.local.;,api-new-01.local.,125.212.195.38,fe80:0:0:0:250:56ff:fe91:5b3f,api-new-01 [00:50:56:91:5b:3f]._workstation._tcp.local.,,,,,,,
8/1/2020 8:26,14.237.161.139,udp,5353,static.vnpt.vn,mdns,45899,VN,HA NOI,HANOI,517311,,,,,_workstation._tcp.local.;,mHomeDaikinVRV.local.,192.168.61.250 192.168.61.125,fe80:0:0:0:ba27:ebff:feb6:6aae,mHomeDaikinVRV [b8:27:eb:b6:6a:ae]._workstation._tcp.local.,,,,,,,
8/1/2020 8:26,27.79.153.7,udp,5353,localhost,mdns,7552,VN,HA NOI,HANOI,517312,,,,,_webdavs._tcp.local.; _webdav._tcp.local.; _smb._tcp.local.; _ftp._tcp.local.; _http._tcp.local.; _afpovertcp._tcp.local.; _device-info._tcp.local.;,,,,,DiskStation.local.,192.168.1.168,2402:800:6105:f7a9:211:32ff:fe2c:a4992402:800:6105:f7a9:0:0:0:1,DiskStation._http._tcp.local.,"""vendor=Synology"" ""model=DS1513+"" ""serial=1410LNN001985"" ""version_major=6"" ""version_minor=2"" ""version_build=25426"" ""admin_port=5000"" ""secure_admin_port=5001"" ""mac_address=00:11:32:2c:a4:99|00:11:32:2c:a4:9a|00:11:32:2c:a4:9b|00:11:32:2c:a4:9c""",DiskStation.local.,5000
8/1/2020 8:27,14.186.98.247,udp,5353,static.vnpt.vn,mdns,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,517311,,,,,_smb._tcp.local.; _ftp._tcp.local.; _http._tcp.local.; _afpovertcp._tcp.local.; _device-info._tcp.local.;,,,,,TALegalServer.local.,192.168.1.240,,TALegalServer._http._tcp.local.,"""vendor=Synology"" ""model=DS215+"" ""serial=15B0N4N966703"" ""version_major=6"" ""version_minor=2"" ""version_build=25426"" ""admin_port=5000"" ""secure_admin_port=5001"" ""mac_address=00:11:32:51:4e:a3|00:11:32:51:4e:a4""",TALegalServer.local.,5000
8/1/2020 8:27,123.31.12.208,udp,5353,static.vnpt.vn,mdns,135905,VN,HA NOI,HANOI,517311,,,,,_workstation._tcp.local.;,centos7.local.,123.31.12.208,fe80:0:0:0:250:56ff:fe91:7502,centos7 [00:50:56:91:75:02]._workstation._tcp.local.,,,,,,,
8/1/2020 8:27,14.231.184.228,udp,5353,static.vnpt.vn,mdns,45899,VN,HA NOI,HANOI,517311,,,,,_udisks-ssh._tcp.local.; _device-info._tcp.local.; _smb._tcp.local.; _http._tcp.local.; _raop._tcp.local.;,,,,,moode.local.,192.168.100.11,2001:ee0:4141:9f67:f2e2:c574:73c7:e2952001:ee0:4141:9f67:0:0:0:3,moOde audio player: moode._http._tcp.local.,"""""",moode.local.,80
8/1/2020 8:27,171.239.198.225,udp,5353,dynamic-adsl.viettel.vn,mdns,7552,VN,HA NOI,HANOI,517312,,,,,_spotify-connect._tcp.local.;,,,,,,,,,,,
8/1/2020 8:27,115.79.26.105,udp,5353,adsl.viettel.vn,mdns,7552,VN,HO CHI MINH,THANH PHO HO CHI MINH,517312,,,,,_smb._tcp.local.; _http._tcp.local.; _afpovertcp._tcp.local.; _device-info._tcp.local.;,,,,,DiskStation.local.,192.168.1.10,,DiskStation._http._tcp.local.,"""vendor=Synology"" ""model=DS918+"" ""serial=1950PDN535410"" ""version_major=6"" ""version_minor=2"" ""version_build=24922"" ""admin_port=5000"" ""secure_admin_port=5001"" ""mac_address=00:11:32:b0:25:55|00:11:32:b0:25:56""",DiskStation.local.,5000
8/1/2020 8:27,210.211.97.17,udp,5353,,mdns,38731,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,,,,,_workstation._tcp.local.;,linux-6.local.,210.211.97.17,fe80:0:0:0:7ce5:1d0d:436b:3e77,linux-6 [84:2b:2b:52:5a:22]._workstation._tcp.local.,,,,,,,
8/1/2020 8:27,101.53.17.238,udp,5353,ci53.17-238.netnam.vn,mdns,24173,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,,,,,_smb._tcp.local.; _ftp._tcp.local.; _http._tcp.local.; _dacp._tcp.local.; _afpovertcp._tcp.local.; _device-info._tcp.local.;,,,,,MIANTDATA.local.,101.53.17.238,,MIANTDATA._http._tcp.local.,"""vendor=Synology"" ""model=DS916+"" ""serial=1660NLN523700"" ""version_major=6"" ""version_minor=2"" ""version_build=25426"" ""admin_port=5000"" ""secure_admin_port=5001"" ""mac_address=00:11:32:60:86:a1|00:11:32:60:86:a2""",MIANTDATA.local.,5000
8/1/2020 8:27,111.65.245.1,udp,5353,,mdns,45894,VN,HO CHI MINH,THANH PHO HO CHI MINH,517311,,,,,_workstation._tcp.local.;,myvneapi13465.local.,111.65.245.1,fe80:0:0:0:250:56ff:fe86:475,myvneapi13465 [00:50:56:86:04:75]._workstation._tcp.local.,,,,,,,
8/1/2020 8:28,123.25.234.12,udp,5353,static.vdc.vn,mdns,45899,VN,HA NOI,HANOI,517311,,,,,_workstation._tcp.local.;,UniFi-CloudKey.local.,10.178.52.240,fe80:0:0:0:7683:c2ff:fed8:f3f5,UniFi-CloudKey [74:83:c2:d8:f3:f5]._workstation._tcp.local.,,,,,,,
8/1/2020 8:28,27.77.252.202,udp,5353,localhost,mdns,7552,VN,HO CHI MINH,THANH PHO HO CHI MINH,517312,,,,,_workstation._tcp.local.; _afpovertcp._tcp.local.; _device-info._tcp.local.;,DiskStation.local.,192.168.1.103,fe80:0:0:0:225:b3ff:fe28:5ff8,DiskStation [00:25:b3:28:5f:f8]._workstation._tcp.local.,,,,,,,
8/1/2020 8:28,118.70.13.44,udp,5353,,mdns,18403,VN,HA NOI,HANOI,517311,,,,,_workstation._tcp.local.; _ssh._tcp.local.;,linux.local.,192.168.99.247,fe80:0:0:0:215:5dff:fec8:c701,linux [00:15:5d:c8:c7:01]._workstation._tcp.local.,,,,,,,
8/1/2020 8:28,123.30.147.179,udp,5353,static.vnpt.vn,mdns,45899,VN,HA NOI,HANOI,517311,,,,,_workstation._tcp.local.;,Tlinux64-3.local.,123.30.147.179,fe80:0:0:0:266e:96ff:fe8e:d070,Tlinux64-3 [24:6e:96:8e:d0:70]._workstation._tcp.local.,,,,,,,
8/1/2020 8:29,125.212.228.164,udp,5353,,mdns,38731,VN,HA NOI,HANOI,517312,,,,,_workstation._tcp.local.;,localhost.local.,125.212.228.164,,localhost [00:50:56:a7:3e:64]._workstation._tcp.local.,,,,,,,
8/1/2020 8:29,118.69.173.230,udp,5353,,mdns,18403,VN,HA NOI,HANOI,517311,,,,,_workstation._tcp.local.; _ssh._tcp.local.;,linux.local.,118.69.173.230,fe80:0:0:0:250:56ff:fea8:154c,linux [00:50:56:a8:15:4c]._workstation._tcp.local.,,,,,,,
8/1/2020 8:29,202.158.247.111,udp,5353,,mdns,135918,VN,DA NANG,DA NANG,0,,,,,_workstation._tcp.local.;,linux18068.local.,202.158.247.111,fe80:0:0:0:250:56ff:fea3:afdf,linux18068 [00:50:56:a3:af:df]._workstation._tcp.local.,,,,,,,
8/1/2020 8:29,118.69.161.242,udp,5353,,mdns,18403,VN,HO CHI MINH,THANH PHO HO CHI MINH,517311,,,,,_workstation._tcp.local.; _ssh._tcp.local.;,,,,,,,,,,,
