"timestamp","ip","protocol","port","hostname","tag","asn","geo","region","city","naics","sic","ipp_version","cups_version","printer_uris","printer_name","printer_info","printer_more_info","printer_make_and_model","printer_firmware_name","printer_firmware_string_version","printer_firmware_version","printer_organization","printer_organization_unit","printer_uuid","printer_wifi_ssid"
"2020-08-01 12:56:03","116.107.222.112","tcp",631,"dynamic-adsl.viettel.vn","ipp",7552,"VN","BAC GIANG","BAC GIANG",517312,,,"CUPS/1.5",,,,,,,,,,,,
"2020-08-01 12:56:18","113.160.226.111","tcp",631,"static.vnpt.vn","ipp",45899,"VN","DA NANG","DA NANG",517311,,"IPP/2.1","CUPS/2.1",,,,,,,,,,,,
"2020-08-01 12:56:27","183.80.169.73","tcp",631,,"ipp",18403,"VN","GIA LAI","PLEIKU",517311,,"IPP/2.1","CUPS/2.1",,,,,,,,,,,,
"2020-08-01 12:57:31","118.70.177.17","tcp",631,,"ipp",18403,"VN","HA NOI","HANOI",517311,,,"CUPS/1.4",,,,,,,,,,,,
"2020-08-01 12:58:16","14.169.250.219","tcp",631,"static.vnpt.vn","ipp",45899,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517311,,"IPP/2.1","CUPS/2.0","ipp://14.169.250.219:631/printers/usbprinter, ipp://14.169.250.219:631/printers/usbprinter1","usbprinter1","usbprinter1","http://14.169.250.219:631/printers/usbprinter1","Local Raw Printer",,,,,,"urn:uuid:843a6eb6-af4f-3f2b-419d-f3ac32772945",
"2020-08-01 12:58:36","123.25.21.140","tcp",631,"static.vnpt-hanoi.com.vn","ipp",45899,"VN","HA NOI","HANOI",517311,,,,,,,,,,,,,,,
"2020-08-01 12:58:38","171.241.37.180","tcp",631,"dynamic-ip-adsl.viettel.vn","ipp",7552,"VN","HA NOI","HANOI",517312,,"IPP/2.1","CUPS/2.1",,,,,,,,,,,,
"2020-08-01 12:59:12","113.179.139.251","tcp",631,"static.vnpt.vn","ipp",45899,"VN","BAC NINH","BAC NINH",517311,,,,"ipp://113.179.139.251/ipp/print","RIW0C96E62C3F29",,,,,,,,,,
"2020-08-01 12:59:20","123.24.182.151","tcp",631,,"ipp",45899,"VN","HA NOI","HANOI",517311,,,,"ipp://123.24.182.151/ipp/print","BRN3C2AF4419F36",,"http://123.24.182.151/net/net/airprint.html",,"MAIN","Q1911021234:B577","Q1911021234:B577",,,"urn:uuid:e3248000-80ce-11db-8000-3c2af4419f36",
"2020-08-01 12:59:34","115.76.82.29","tcp",631,"adsl.viettel.vn","ipp",7552,"VN","BINH DUONG","THU DAU MOT",517312,,,,"http://192.168.1.5/ipp.cgi",,,,,,,,,,,
"2020-08-01 12:59:57","123.20.227.227","tcp",631,,"ipp",45899,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517311,,"IPP/2.1","CUPS/2.1",,,,,,,,,,,,
"2020-08-01 13:00:02","113.166.92.8","tcp",631,"static.vnpt.vn","ipp",45899,"VN","CAN THO","CAN THO",517311,,"IPP/2.1","CUPS/1.6",,,,,,,,,,,,
"2020-08-01 13:00:08","14.161.150.179","tcp",631,"static.vnpt.vn","ipp",45899,"VN","HA NOI","HANOI",517311,,,,"ipp://14.161.150.179/ipp/print",,,"http://14.161.150.179/net/net/airprint.html",,,,,,,"urn:uuid:e3248000-80ce-11db-8000-3c2af46d8e70",
"2020-08-01 13:00:31","171.247.245.132","tcp",631,"dynamic-ip-adsl.viettel.vn","ipp",7552,"VN","SOC TRANG","SOC TRANG",517312,,"IPP/2.1","CUPS/2.1",,,,,,,,,,,,
"2020-08-01 13:00:32","125.234.166.2","tcp",631,"125.234.166.2.hcm.viettel.vn","ipp",133606,"VN","HA NOI","HANOI",0,,"IPP/2.1","CUPS/2.1",,,,,,,,,,,,
"2020-08-01 13:00:48","115.78.132.113","tcp",631,,"ipp",7552,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517312,,"IPP/2.1","CUPS/2.1",,,,,,,,,,,,
"2020-08-01 13:00:58","14.186.232.142","tcp",631,"static.vnpt.vn","ipp",45899,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517311,,"IPP/2.1","CUPS/2.1",,,,,,,,,,,,
"2020-08-01 13:01:58","14.231.42.142","tcp",631,"static.vnpt.vn","ipp",45899,"VN","HA NOI","HANOI",517311,,"IPP/2.1","CUPS/2.2","ipp://14.231.42.142:631/printers/FUJI_XEROX_DocuPrint_M158_b","FUJI_XEROX_DocuPrint_M158_b","FUJI XEROX DocuPrint M158 b","http://14.231.42.142:631/printers/FUJI_XEROX_DocuPrint_M158_b","Xerox DocuPrint 4508 - CUPS+Gutenprint v5.3.1",,,,,,"urn:uuid:f6288b55-19c2-3dd0-782d-d427fb76ebc5",
"2020-08-01 13:03:06","14.168.80.222","tcp",631,"static.vnpt.vn","ipp",45899,"VN","SOC TRANG","SOC TRANG",517311,,"IPP/2.1","CUPS/2.2","ipp://14.168.80.222:631/printers/Brother_HL-2240D_series, ipp://14.168.80.222:631/printers/Canon_LBP2900, ipp://14.168.80.222:63","HP_LaserJet_1020","HP LaserJet 1020","http://14.168.80.222:631/printers/HP_LaserJet_1020","HP LaserJet 1020 Foomatic/foo2zjs-z1 (recommended)",,,,,,"urn:uuid:a85e19af-6569-35c9-5cbd-bc71235b377d",
"2020-08-01 13:04:11","115.73.115.16","tcp",631,"adsl.viettel.vn","ipp",7552,"VN","DA NANG","DA NANG",517312,,"IPP/2.1","CUPS/1.6",,,,,,,,,,,,
"2020-08-01 13:06:03","118.68.53.29","tcp",631,,"ipp",18403,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517311,,,,"ipp://BRN001BA9F68A5E.local./ipp/port1",,,"http://BRN001BA9F68A5E.local./net/net/airprint.html",,,,,,,"urn:uuid:e3248000-80ce-11db-8000-001ba9f68a5e",
"2020-08-01 13:06:05","113.161.157.28","tcp",631,"sunluxe.vn","ipp",45899,"VN","HA NOI","HANOI",517311,,,,"ipp://192.168.84.228/printer","IPP Printer","RICOH Aficio MP 5002 [0026737B474B]","http://RNP0026737B474B.local/","RICOH Aficio MP 5002 AirPrint",,,,,,"urn:uuid:beabb06e-1dd1-11b2-b75b-934d35b971d0",
"2020-08-01 13:06:11","14.188.71.31","tcp",631,"static.vnpt.vn","ipp",45899,"VN","HA NOI","HANOI",517311,,,,"ipp://14.188.71.31/ipp/print","BRW9C305B9E4C4B",,"http://14.188.71.31/net/net/airprint.html",,"MAIN","G1901081309:F432","G1901081309:F432",,,"urn:uuid:e3248000-80ce-11db-8000-9c305b9e4c4b",
"2020-08-01 13:06:30","27.77.252.202","tcp",631,"localhost","ipp",7552,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517312,,,"CUPS/1.5",,,,,,,,,,,,
"2020-08-01 13:06:36","14.162.202.244","tcp",631,"static.vnpt.vn","ipp",45899,"VN","HA NOI","HANOI",517311,,"IPP/2.1","CUPS/2.0",,,,,,,,,,,,
"2020-08-01 13:06:45","203.205.32.241","tcp",631,"static.cmcti.vn","ipp",45903,"VN","HO CHI MINH","THANH PHO HO CHI MINH",0,,,,"ipp://192.168.1.254/printer","IPP Printer","BypassTrayFeed DuplexPrint ThickPaperPrint Collate SamplePrint",,"RICOH Aficio MP 3351",,,,,,,
"2020-08-01 13:06:53","203.210.221.113","tcp",631,"adsl.hnpt.com.vn","ipp",45899,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517311,,,,"ipp://DEVB70041.local/ipp/print","DEVB70041","HP LaserJet Pro MFP M127fn","http://DEVB70041.local./SSI/Auth/airprint.htm","HP LaserJet Pro MFP M127fn",,,,,,"urn:uuid:574e3231-3439-3030-3030-40a8f0b70041",
"2020-08-01 13:07:57","113.162.179.49","tcp",631,"static.vnpt.vn","ipp",45899,"VN","HA NOI","HANOI",517311,,"IPP/2.1","CUPS/2.1",,,,,,,,,,,,
"2020-08-01 13:08:07","113.161.157.29","tcp",631,"static.vnpt.vn","ipp",45899,"VN","HA NOI","HANOI",517311,,,,"ipp://192.168.84.228/printer","IPP Printer","RICOH Aficio MP 5002 [0026737B474B]","http://RNP0026737B474B.local/","RICOH Aficio MP 5002 AirPrint",,,,,,"urn:uuid:beabb06e-1dd1-11b2-b75b-934d35b971d0",
"2020-08-01 13:08:15","115.73.2.72","tcp",631,"adsl.viettel.vn","ipp",7552,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517312,,"IPP/2.1","CUPS/2.2","ipp://115.73.2.72:631/printers/HP_Pi","HP_Pi","HP LaserJet Professional P1102","http://115.73.2.72:631/printers/HP_Pi","HP LaserJet Pro P1102 Foomatic/foo2zjs-z2 (recommended)",,,,,,"urn:uuid:1c2b85fc-0ca5-317d-7024-4a9c7fd78c2b",
"2020-08-01 13:08:37","14.172.226.70","tcp",631,"static.vnpt.vn","ipp",45899,"VN","HA NOI","HANOI",517311,,"IPP/2.1","CUPS/1.6",,,,,,,,,,,,
"2020-08-01 13:08:40","14.187.167.73","tcp",631,"static.vnpt.vn","ipp",45899,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517311,,,"CUPS/1.5","ipp://static.vnpt.vn:631/printers/dohai_printer","dohai_printer","dohai_printer","http://static.vnpt.vn:631/printers/dohai_printer","Brother HL-2060 - CUPS+Gutenprint v5.2.10",,,,,,"urn:uuid:97f95822-4cf3-3800-5ca6-39e1242d6d17",
"2020-08-01 13:08:43","14.169.20.253","tcp",631,"static.vnpt.vn","ipp",45899,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517311,,"IPP/2.1","CUPS/2.1",,,,,,,,,,,,
"2020-08-01 13:08:51","113.180.80.44","tcp",631,"static.vnpt.vn","ipp",45899,"VN","HA NOI","HANOI",517311,,"IPP/2.1","CUPS/2.1",,,,,,,,,,,,
"2020-08-01 13:08:52","171.226.89.165","tcp",631,"dynamic-adsl.viettel.vn","ipp",7552,"VN","HA NOI","HANOI",517312,,"IPP/2.1","CUPS/1.6",,,,,,,,,,,,
"2020-08-01 13:08:56","113.160.163.181","tcp",631,"static.vnpt.vn","ipp",45899,"VN","BAC KAN","BAC KAN",517311,,"IPP/2.1","CUPS/1.6",,,,,,,,,,,,
"2020-08-01 13:10:09","14.186.159.219","tcp",631,"static.vnpt.vn","ipp",45899,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517311,,"IPP/2.1","CUPS/2.2","ipp://14.186.159.219:631/printers/Canon_LBP2900, ipp://14.186.159.219:631/printers/Canon_LBP2900_on_kenshinpi_via_VNC_from_KENSH","Canon_LBP2900_on_kenshinpi_via_VNC_from_KENSHIN","Canon_LBP2900_on_kenshinpi_via_VNC_from_KENSHIN","http://14.186.159.219:631/printers/Canon_LBP2900_on_kenshinpi_via_VNC_from_KENSHIN","Local Raw Printer",,,,,,"urn:uuid:bfb8cb43-5762-3a29-5ac6-473e99f6d22b",
"2020-08-01 13:10:38","118.70.10.44","tcp",631,,"ipp",18403,"VN","HA NOI","HANOI",517311,,,"CUPS/1.5",,,,,,,,,,,,
"2020-08-01 13:11:31","117.0.34.26","tcp",631,"localhost","ipp",7552,"VN","HA NOI","HANOI",517312,,,"CUPS/1.5",,,,,,,,,,,,
"2020-08-01 13:12:04","116.97.246.93","tcp",631,,"ipp",7552,"VN","HA NOI","HANOI",517312,,"IPP/2.1","CUPS/2.1",,,,,,,,,,,,
"2020-08-01 13:12:27","14.189.214.153","tcp",631,"static.vnpt.vn","ipp",45899,"VN","HA NOI","HANOI",517311,,"IPP/2.1","CUPS/2.1",,,,,,,,,,,,
"2020-08-01 13:12:39","14.180.250.135","tcp",631,"static.vnpt.vn","ipp",45899,"VN","DA NANG","DA NANG",517311,,"IPP/2.1","CUPS/1.6",,,,,,,,,,,,
"2020-08-01 13:12:48","171.229.238.85","tcp",631,"dynamic-ip-adsl.viettel.vn","ipp",7552,"VN","HA NOI","HANOI",517312,,"IPP/2.1","CUPS/2.0","ipp://171.229.238.85:631/printers/GreP","GreP","GreP","http://171.229.238.85:631/printers/GreP","Xerox DocuPrint P12 - CUPS+Gutenprint v5.2.10",,,,,,"urn:uuid:9704e639-b822-3d34-4e92-66c8bbba5b1d",
"2020-08-01 13:12:48","14.241.240.95","tcp",631,"static.vnpt.vn","ipp",45899,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517311,,,,"ipp://192.168.1.222/printer","IPP Printer","BypassTrayFeed DuplexPrint ThickPaperPrint Collate SamplePrint",,"RICOH Aficio MP 5001",,,,,,,
"2020-08-01 13:12:52","103.98.160.64","tcp",631,,"ipp",135922,"VN","HO CHI MINH","THANH PHO HO CHI MINH",0,,"IPP/2.1","CUPS/2.2","ipp://103.98.160.64:631/printers/MCQ1-2","MCQ1-2","HP-M15W-WIFI","http://103.98.160.64:631/printers/MCQ1-2","HP LaserJet m14-m17, hpcups 3.19.12",,,,,,"urn:uuid:613e7607-ccc6-377e-63da-393111ddcf9c",
"2020-08-01 13:13:26","113.161.157.27","tcp",631,"static.vnpt.vn","ipp",45899,"VN","HA NOI","HANOI",517311,,,,"ipp://192.168.84.228/printer","IPP Printer","RICOH Aficio MP 5002 [0026737B474B]","http://RNP0026737B474B.local/","RICOH Aficio MP 5002 AirPrint",,,,,,"urn:uuid:beabb06e-1dd1-11b2-b75b-934d35b971d0",
"2020-08-01 13:13:48","118.70.182.144","tcp",631,,"ipp",18403,"VN","HA NOI","HANOI",517311,,,,"ipp://118.70.182.144:631/ipp/print","MF230 Series","Canon MF230","http://118.70.182.144:80/airprint.html","CNMF230 Series","Main Contoller","04.07",,,,"urn:uuid:01c80000-fe7f-11de-8a39-84ba3b99bc71",
"2020-08-01 13:14:36","222.252.214.151","tcp",631,"static.vnpt.vn","ipp",45899,"VN","HA NOI","HANOI",517311,,"IPP/2.1","CUPS/2.1",,,,,,,,,,,,
"2020-08-01 13:14:37","49.156.54.220","tcp",631,,"ipp",56141,"VN","DA NANG","DA NANG",0,,"IPP/2.1","CUPS/2.1",,,,,,,,,,,,
"2020-08-01 13:15:14","14.248.174.209","tcp",631,"static.vnpt.vn","ipp",45899,"VN","HA NOI","HANOI",517311,,,,"ipp://14.248.174.209/ipp/print","NPIAFCF0C","HP LaserJet MFP M28w","http://14.248.174.209/hp/device/info_config_AirPrint.html?tab=Networking&menu=AirPrintStatus","HP LaserJet MFP M28-M31",20180306,20180306,20180306,,,"urn:uuid:564e4333-4e30-3133-3635-1062e5afcf0c",
"2020-08-01 13:15:47","113.161.157.26","tcp",631,"static.vnpt.vn","ipp",45899,"VN","HA NOI","HANOI",517311,,,,"ipp://192.168.84.228/printer","IPP Printer","RICOH Aficio MP 5002 [0026737B474B]","http://RNP0026737B474B.local/","RICOH Aficio MP 5002 AirPrint",,,,,,"urn:uuid:beabb06e-1dd1-11b2-b75b-934d35b971d0",
"2020-08-01 13:15:56","113.160.199.179","tcp",631,"static.vnpt.vn","ipp",45899,"VN","HA NAM","PHU LY",517311,,"IPP/2.1","CUPS/2.1",,,,,,,,,,,,
"2020-08-01 13:15:58","113.161.104.67","tcp",631,"static.vnpt.vn","ipp",45899,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517311,,,"CUPS/1.5",,,,,,,,,,,,
"2020-08-01 13:17:17","116.104.240.98","tcp",631,"dynamic-ip-adsl.viettel.vn","ipp",7552,"VN","HA NOI","HANOI",517312,,"IPP/2.1","CUPS/2.1",,,,,,,,,,,,
"2020-08-01 13:17:54","115.79.157.161","tcp",631,"adsl.viettel.vn","ipp",7552,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517312,,"IPP/2.1","CUPS/1.7",,,,,,,,,,,,
"2020-08-01 13:18:09","220.231.90.233","tcp",631,,"ipp",7552,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517312,,"IPP/2.1","CUPS/1.6",,,,,,,,,,,,
"2020-08-01 13:18:15","14.160.24.111","tcp",631,"static.vnpt.vn","ipp",45899,"VN","HA NOI","HANOI",517311,,,"CUPS/1.4",,,,,,,,,,,,
"2020-08-01 13:18:38","183.80.231.154","tcp",631,,"ipp",18403,"VN","HA NOI","HANOI",517311,,,,"ipp://183.80.231.154/ipp/print","NPIF5B77D","HP LaserJet M15w","http://183.80.231.154/hp/device/info_config_AirPrint.html?tab=Networking&menu=AirPrintStatus","HP LaserJet M14-M17",20180809,20180809,20180809,,,"urn:uuid:564e4333-3330-3138-3232-f43909f5b77d",
"2020-08-01 13:18:39","14.162.143.137","tcp",631,"static.vnpt.vn","ipp",45899,"VN","HA NOI","HANOI",517311,,"IPP/2.1","CUPS/2.2","ipp://14.162.143.137:631/printers/Canon_G2010_series","Canon_G2010_series","Canon G2010 series","http://14.162.143.137:631/printers/Canon_G2010_series","Canon PIXMA G2000 - CUPS+Gutenprint v5.2.13",,,,,,"urn:uuid:c2c67101-7aa3-3b7f-7b0f-549334297e6c",
"2020-08-01 13:19:14","103.77.168.130","tcp",631,,"ipp",63764,"VN","HO CHI MINH","THANH PHO HO CHI MINH",0,,,,"http://103.77.168.130/ipp",,,,,,,,,,,
